,0,1,2
0,ACSF1,0,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.23049243526050983, 0.20513832940351193, 1.571269770082219, 0.942925430444612, 0.11, 0.6625850322931213, 0.2149469720786301, 0.0, 0.3833254404437041, 0.14019810485013093, 3.321928094887362, nan, nan, 0.017767922261099797, 0.04377692209458442, 0.13257065561111375, 0.3721003547723125, 5.228723740242492, 0.1, 0.0, nan, nan, 1.2364918114141095, nan, nan, 9.090909090909092, 0.20717822729902116, 0.30127684313294983, 4.257874933425047, 0.6198320065382648, nan, nan, 19.150030278446955, 0.16608271657448517, 0.34888441426006833, 1.4208045486306284, 1.1647600746321969, 0.920685821677521, 1.1124480203357159, 0.9385006230693665, 1.1399238002801668, 0.31980268828599584, 1.41265978538399, 0.6353229315445343, 0.4022901378402758, 22, 3, 0, 10, 0.16883116883116883, 9, 200, 1.0, 22, 16, 1.473182836738323, nan, 4.32078793161606, 1.1010018603446325, 1.4131156286919024, 10.461032693349013, 0.2458123798854621, 0.2749227120080859, nan, nan, nan, 0.1580417996497282, 0.2648295554177846, 0.9200767696246674, 1.1210648707040072, 0.1325706556111138, 0.29922331924170714, 0.000528922242164994])"
1,Adiac,1,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.059817701082085444, 0.058835066046686646, 1.9917228585945226, 1.2101817699882405, 0.028169014084507043, 0.42299370096652483, 0.3251063867074907, 0.0, 0.36327249021546365, 0.14666996642648628, 5.201999516278599, 0.2526862552341798, 0.20491765678513482, 0.059619745445327305, 0.3086095641525037, 1.5066479875197982, 5.451884991919587, 5.89521542858815, 0.02702702702702703, 0.0028755230515575027, nan, nan, 2.3895063166222585, nan, nan, 35.5, 0.3298689139368793, 0.7517478031896903, 6.311311955899776, 0.749744915406028, nan, nan, 25.858757130214503, 0.1662102036814672, 0.4294560333893983, 11.639531861122526, 19.471611013442065, 7.738569992731086, 14.989024206031962, 7.859113543029998, 15.307955459103768, 4.996073382921347, 10.835628724864245, 0.8824104189733454, 0.5559371909073284, 22, 0, 0, 37, 0.12987012987012986, 22, 781, 1.0, 22, 21, 1.2571388729881778, nan, 6.155898179499882, 6.643458478201176, 14.464442159604523, 8.78241972169331, 0.5230101755583134, 1.1365860234598502, nan, nan, nan, 0.10985029675112185, 0.21876344696793246, 7.797469851514816, 15.15161750915121, 1.5066479875198, 5.249632761568677, 2.2685273798772334e-05])"
2,ArrowHead,2,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.14653715222152733, 0.09006781117035909, 2.085528136379468, 0.4390432914784451, 0.10426540284360189, 0.6882930929843356, 0.21303502386477663, 0.0, 0.1015929890738308, 0.04446354550831229, 1.576854326492239, 0.28476277361134994, 0.23965376274356487, 3.0089290399827706, 15.390534602070748, 62.827474811045356, 262.5971331083061, 5.967509925937029, 0.3333333333333333, 0.043780115199213335, nan, nan, 31.074274466319302, nan, nan, 9.590909090909092, 5.076881381602081, 15.418075325963876, 3.3981425460449857, 0.414358579714445, 4.902249655033245, 9.149306691064375, 2.7827813882429644, 2.2104243517487747, 5.063364896228702, 16.371165209471204, 28.474413490335017, 11.819692642815227, 20.413585552628614, 12.976241876658861, 22.50398085155069, 4.982888541478415, 10.732218568088205, 0.26423991682672204, 0.1358145551940969, 22, 0, 0, 3, 0.2077922077922078, 2, 211, 1.0, 22, 17, 6.892555225662873, nan, 0.9928786850929526, 11.388276667992793, 21.399557009323864, 2.3761682940646853, 2.997654999964213, 7.510354328300838, nan, -0.3169971503865327, 1.8402620055465564, 0.02922334762882105, 0.05384244679711577, 12.08633655206063, 20.808198685617512, 62.827474811045434, 252.12997565148726, 0.21057230785892778])"
3,Beef,3,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.14468955621836538, 0.13232969044638704, 1.4109682871773521, 0.4028213740548636, 0.36666666666666664, 0.7338702261556019, 0.18250221931107985, 0.0, 0.17585170172572304, 0.13920357970474856, 2.3219280948873626, 0.30744254871082305, 0.2193936445904309, 5.3521488780699205, 44.535062138142926, 213.37961222865204, 694.193546183284, 10.332852594332355, 0.2, 0.0, nan, nan, 105.96720058601272, nan, nan, 2.727272727272727, 3.1324344147197363, 7.065956401176699, 3.508183208844673, 0.39320068028555205, 3.6179532022934184, 11.340131304422474, 12.331792699987167, 2.4867247236222103, 5.889138840610254, 33.58408886137718, 72.8553073856878, 21.779790393850753, 41.59941461077023, 22.115012813359513, 42.20880856816046, 10.871843093738704, 25.217690662745063, 0.2247131732200416, 0.12697837470243076, 22, 2, 0, 5, 0.20346320346320346, 4, 60, 2.0, 22, 15, 5.2789745120804135, nan, 2.2541832155111057, 22.712245767638475, 52.2829446142577, 9.431905767588171, 5.751721498925838, 13.74346747784079, nan, -0.2946590598600359, 2.109955981360884, 0.0631719783507656, 0.14187158033323577, 21.91368696909104, 41.64658772775203, 213.3796122286519, 661.6866270760746, 0.014218375539068998])"
4,BeetleFly,4,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.14202228739175582, 0.11518038361010287, 1.575297338158896, 0.017068597098384826, 0.55, 0.926300585719245, nan, 0.0, 0.09414118984420818, 0.08758383216114436, 1.0, 0.3224831637551407, 0.2492184431202997, 4.502333723655303, 22.053935345119875, 111.52443176561029, 340.014917495451, 6.421002545463412, 0.5, 0.0, nan, nan, 6.7185681770143795, nan, nan, 1.8181818181818181, 4.984084741592849, 12.312015042698588, 2.419558418431084, 0.15592317862502605, 0.5514829487390298, 1.6029255352630738, 6.043879323071011, 2.6618637358097965, 5.989842514618575, 23.45072375048577, 46.241467242568746, 12.063159642160095, 22.364094426649, 10.452671489243961, 18.498639953027954, 5.464444904412525, 11.111325542268208, 0.15573891972781156, 0.15737029233951388, 22, 0, 0, 2, 0.26406926406926406, 1, 40, 10.0, 22, 11, 9.114988218180008, nan, 0.8580327751038164, 17.98627884607325, 39.0572856011452, 6.043879323071011, 4.39831219985384, 9.826941088468883, nan, 0.25564793343427333, 0.8900704626507173, 0.014037742156039467, 0.021559515378164234, 11.268278725217685, 20.6217742669165, 111.52443176561025, 323.280420130439, 0.14196722489618363])"
5,BirdChicken,5,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.12238869751021134, 0.14565682895567042, 1.4416820502548238, 0.42397371472844764, 0.55, 0.9352200389353249, nan, 0.0, 0.14868069514792484, 0.13352232311497667, 1.0, 0.2853741846203646, 0.22444293617295663, 6.038366010815469, 34.401922771194116, 330.5304799346965, 1289.5724955325127, 4.635641392241136, 0.5, 0.0, nan, nan, 28.58032482351183, nan, nan, 1.8181818181818181, 9.949522607724127, 32.73101084370275, 2.225962171302638, 0.4118323733180314, 0.5332091874292394, 2.8347585428185407, 6.976804806161119, 2.300248170413783, 5.2344644935150955, 30.640035205814964, 58.11043462869045, 18.802851993562882, 32.95734867916741, 15.499417455899724, 30.60008393581338, 9.110319550793081, 20.517669889296346, 0.2157198789521858, 0.21683892121670176, 22, 0, 0, 2, 0.18181818181818182, 1, 40, 8.0, 22, 12, 5.683120986612327, nan, 0.8746365212261906, 21.529715655021878, 45.607202635820514, 6.976804806161119, 6.6100340813453755, 17.334845785185298, nan, -0.11548989000320636, 1.0050157826135437, 0.030751923599996088, 0.07141455156592365, 18.512030607159886, 32.23635362421361, 330.5304799346968, 1279.1680669043578, 0.12536347877380938])"
6,BME,6,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.07331960873816465, 0.05572594725451196, 1.9957450833870212, 0.6095499559665714, 0.12222222222222222, 0.9026128534460345, 0.10662478893032595, 0.0, 0.07851030283039798, 0.06159849400327945, 1.584962500721156, 0.15428014267862705, 0.15767912858354868, 0.43761899435978013, 2.2194516552153742, 12.646408638652797, 32.99185260658846, 7.0189783768483345, 0.3333333333333333, 0.0, nan, nan, 7.597066490471793, nan, nan, 8.181818181818182, 1.6326102952090558, 3.1618805484058097, 3.354896587745935, 0.5556764179641327, 6.139011091836383, 13.490236011871453, 24.15573902879899, 1.0480966805916367, 2.2065076826075907, 11.54425582977535, 20.764771057359198, 8.193513621781664, 15.13161609055331, 8.504603915072407, 15.641633983543143, 3.1534899165300243, 7.908154825661552, 0.22581099636224222, 0.20441524369360228, 22, 1, 0, 3, 0.04329004329004329, 2, 180, 0.0, 22, 19, 7.838121772358154, nan, 1.6407887720264216, 8.390765913245327, 15.095863904174118, 21.988283314255103, 1.7004314143851296, 3.1967894322701014, nan, -0.3037416000576897, 2.276999449380979, 0.052105739673156765, 0.10673741749883571, 8.425231845856445, 15.503398463068615, 12.6464086386528, 31.24655189378785, 0.013733552991107066])"
7,Car,7,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.10649735145505534, 0.1294685059342352, 1.599643726570787, 0.7187108754214393, 0.18333333333333332, 0.7400644676157769, 0.1253499034219599, 0.0, 0.15209106187486932, 0.12671358763123022, 2.0, nan, nan, 3.406529141519778, 23.82260574381383, 154.73939050747333, 586.8275785556305, 9.021613803521829, 0.25, 0.0, nan, nan, 22.359028884002452, nan, nan, 5.454545454545454, 2.4155954864004268, 6.4094776559338715, 3.3779538999436216, 0.6343576322274875, nan, nan, 5.203513472849475, 1.6700612131958812, 4.529312676631843, 33.865324233314496, 61.471958049760524, 22.166174012972586, 43.52185488419804, 21.477639100043568, 44.1383317272183, 14.81695556922666, 30.970329617788284, 0.22168982662716577, 0.14873610011749722, 22, 0, 0, 4, 0.16883116883116883, 3, 120, 5.0, 22, 15, 6.215683962174056, nan, 1.6745114452580587, 19.048368664087846, 43.984814910621346, 3.590352783689814, 4.584076026341267, 11.836111058613172, nan, nan, nan, 0.11361900031112106, 0.28912994215840143, 21.447664178848605, 44.19037781982012, 154.7393905074733, 575.9166558395345, 0.06678292514248628])"
8,CBF,8,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.05297904207243662, 0.06548350633213762, 2.873975001964313, 0.606468858327525, 0.023655913978494623, 0.922436059443511, 0.02416146179162237, 0.0, 0.052456062357828244, 0.03915876240376575, 1.584962500721156, 0.20426236497968037, 0.21115137313091142, 1.8100286460748598, 9.953466359889884, 23.807447846655574, 72.45350819836081, 5.147783136060672, 0.3333333333333333, 0.0, nan, nan, 24.925805739814496, nan, nan, 42.27272727272727, 3.266948434819822, 6.330400765161021, 4.151045258814829, 0.5368306061425603, 0.43467587904744337, 1.339153880081876, 12.070212774372134, 2.0732869197829005, 3.92166934007345, 11.956510666026253, 23.019293169202864, 4.59514816110066, 9.409327572300588, 3.976475015347447, 8.496942249970054, 1.0964283827667938, 3.1088972651784084, 0.3078922438706392, 0.25950681343605314, 22, 0, 0, 3, 0.11255411255411256, 2, 930, 0.0, 22, 13, 8.334353362833694, nan, 1.7023603437592532, 10.860082283259457, 20.752805207954204, 7.525099793120729, 2.310225995512656, 4.398845526676987, nan, 0.31993529070631543, 0.8333234749142745, 0.03513236507676721, 0.07384446659379189, 4.208954361483045, 8.770467989291811, 23.807447846655588, 54.8388266869364, 0.02115388452283221])"
9,Chinatown,9,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.18461807106444642, 0.20513248149813712, 1.6553873450567897, 1.1166473600329696, 0.06060606060606061, 0.8250449916055951, nan, 0.0, 0.13849391917871437, 0.18048702305941455, 0.8641588586638196, nan, nan, 525949561.3020109, 7985090045.7023, 683015814439.4061, 3202811716506.6343, 7.089433795202886, 0.5, 0.30193264761409055, nan, nan, 603389.4322818863, nan, nan, 16.5, 202138.47677557406, 925412.493370903, 2.397652286148721, 1.055286168140127, nan, nan, 2.1318434515458535, 149106.44241901895, 683243.0523215047, 1335606.0442562557, 6156116.489690666, 302245.2149542365, 1368796.2719135561, 274822.74322607496, 1243269.3356536897, -146030.1427698056, 708323.9399547694, 0.12189391757188826, 0.12779866371213489, 22, 1, 0, 2, 0.04329004329004329, 1, 363, 4.0, 22, 17, 12.580557406242251, nan, 0.6806992381734764, 1481636.1870260614, 6863718.223554247, 2.1318434515458535, 179288.8093376961, 825751.3006285601, nan, nan, nan, 0.2448340956299704, 0.3355653477637871, 280383.8520166708, 1268182.9313094197, 683015814439.4075, 3202592718664.0527, 0.3193007618265235])"
