,0,1
0,ACSF1,0:00:02.431913
1,Adiac,0:00:02.525760
2,ArrowHead,0:00:01.140440
3,Beef,0:00:00.826436
4,BeetleFly,0:00:00.872464
5,BirdChicken,0:00:00.885082
6,BME,0:00:00.896705
7,Car,0:00:01.040978
8,CBF,0:00:01.776167
9,Chinatown,0:00:20.882441
10,ChlorineConcentration,0:00:05.751883
11,CinCECGTorso,0:00:08.202278
12,Coffee,0:00:00.892500
13,Computers,0:00:01.816273
14,CricketX,0:00:02.545287
15,CricketY,0:00:02.673521
16,CricketZ,0:00:02.588692
17,Crop,0:00:13.603107
18,DiatomSizeReduction,0:00:01.389376
19,DistalPhalanxOutlineCorrect,0:00:01.532744
20,DistalPhalanxOutlineAgeGroup,0:00:01.453712
21,DistalPhalanxTW,0:00:01.437443
22,Earthquakes,0:00:01.598133
23,ECG200,0:00:01.060424
24,ECG5000,0:00:05.245426
25,ECGFiveDays,0:00:01.763196
26,ElectricDevices,0:00:12.080860
27,EOGHorizontalSignal,0:01:12.315529
28,EOGVerticalSignal,0:00:46.646782
29,EthanolLevel,0:00:03.628376
30,FaceAll,0:00:02.076459
31,FaceFour,0:00:00.669883
32,FacesUCR,0:00:02.399110
33,FiftyWords,0:00:01.816580
34,Fish,0:00:00.972658
35,FordA,0:00:06.260340
36,FordB,0:00:05.640000
37,FreezerRegularTrain,0:00:03.583541
38,FreezerSmallTrain,0:00:03.452950
39,GunPoint,0:00:00.655156
40,GunPointAgeSpan,0:00:24.823023
41,GunPointMaleVersusFemale,0:00:24.348704
42,GunPointOldVersusYoung,0:00:24.251487
43,Ham,0:00:00.797073
44,HandOutlines,0:00:07.519536
45,Haptics,0:00:01.874648
46,Herring,0:00:00.722263
47,HouseTwenty,0:02:37.763679
48,InlineSkate,0:00:03.765846
49,InsectEPGRegularTrain,0:00:01.203884
50,InsectEPGSmallTrain,0:00:01.262422
51,InsectWingbeatSound,0:00:03.458900
52,ItalyPowerDemand,0:00:01.222130
53,LargeKitchenAppliances,0:00:02.954393
54,Lightning2,0:00:01.357997
55,Lightning7,0:00:01.139001
56,Mallat,0:00:09.633947
57,Meat,0:00:01.110000
58,MedicalImages,0:00:03.120442
59,MiddlePhalanxOutlineCorrect,0:00:01.543072
60,MiddlePhalanxOutlineAgeGroup,0:00:01.413009
61,MiddlePhalanxTW,0:00:01.554002
62,MixedShapesRegularTrain,0:00:10.087842
63,MixedShapesSmallTrain,0:00:06.524155
64,MoteStrain,0:00:01.614870
65,NonInvasiveFetalECGThorax1,0:00:11.186106
66,NonInvasiveFetalECGThorax2,0:00:14.629546
67,OliveOil,0:00:00.875009
68,OSULeaf,0:00:01.616074
69,PhalangesOutlinesCorrect,0:00:02.307251
70,Phoneme,0:00:07.353135
71,PigAirwayPressure,0:00:03.837974
72,PigArtPressure,0:00:19.540606
73,PigCVP,0:00:03.927768
74,Plane,0:00:00.827609
75,PowerCons,0:00:01.151308
76,ProximalPhalanxOutlineCorrect,0:00:01.354960
77,ProximalPhalanxOutlineAgeGroup,0:00:01.218161
78,ProximalPhalanxTW,0:00:01.651000
79,RefrigerationDevices,0:00:02.216676
80,Rock,0:00:03.579676
81,ScreenType,0:00:02.559081
82,SemgHandGenderCh2,0:00:25.834311
83,SemgHandMovementCh2,0:00:24.181451
84,SemgHandSubjectCh2,0:00:21.336888
85,ShapeletSim,0:00:00.932890
86,ShapesAll,0:00:02.622961
87,SmallKitchenAppliances,0:00:02.263156
88,SmoothSubspace,0:00:00.717499
89,SonyAIBORobotSurface1,0:00:00.936701
90,SonyAIBORobotSurface2,0:00:01.112447
91,StarLightCurves,0:00:20.677836
92,Strawberry,0:00:01.443739
93,SwedishLeaf,0:00:01.485543
94,Symbols,0:00:01.839145
95,SyntheticControl,0:00:00.987806
96,ToeSegmentation1,0:00:00.932398
97,ToeSegmentation2,0:00:00.811408
98,Trace,0:00:00.864371
99,TwoLeadECG,0:00:01.266008
100,TwoPatterns,0:00:03.302270
101,UMD,0:00:00.711731
102,UWaveGestureLibraryAll,0:00:10.342592
103,UWaveGestureLibraryX,0:00:05.550656
104,UWaveGestureLibraryY,0:00:05.371196
105,UWaveGestureLibraryZ,0:00:05.683489
106,Wafer,0:00:06.190431
107,Wine,0:00:00.854087
108,WordSynonyms,0:00:03.348102
109,Worms,0:00:01.524278
110,WormsTwoClass,0:00:01.428778
111,Yoga,0:00:06.173972
