ACC:TESTACC,ShapeletTransformClassifier,TSF,RotF,BOSS,SVMQ,NN_CID,Logistic,DTW,DD_DTW,NN,ERP,RandF,SVML,DTD_C,WDTW,MSM,BOP,BayesNet,FastShapelets,TWE,NB,C45,SAXVSM,MLP,LearnShapelets,LCSS
AvgTESTACCOverDsets:,0.7461928934010152,0.7258883248730964,0.7157360406091371,0.7106598984771574,0.6700507614213198,0.6192893401015228,0.6091370558375635,0.5989847715736041,0.5989847715736041,0.5939086294416244,0.5939086294416244,0.5888324873096447,0.5786802030456852,0.5736040609137056,0.5634517766497462,0.5532994923857868,0.5532994923857868,0.5482233502538071,0.5279187817258884,0.5228426395939086,0.5076142131979695,0.43147208121827413,0.4213197969543147,0.2436548223350254,0.025380710659898477,0.005076142131979695
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.5,8.5,10.5,10.5,12.0,13.0,14.0,15.0,16.5,16.5,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,LearnShapelets,RotF,MSM,WDTW,DTW,SVMQ,FastShapelets,BOSS,LCSS,SVML,TSF,NB,BayesNet,BOP,RandF,ERP,NN_CID,SAXVSM,MLP,Logistic,NN,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-997.938506,-331.303939,-149.328658,-71.518172,-58.239958,-47.531084,-37.487666,-31.575994,-18.428132,-8.246389,-7.101862,-7.011216,-4.254813,-2.529722,-2.440657,-1.928416,-0.475163,-0.371054,-0.286572,-0.263801,-0.221491,-0.210719,-0.170073,-0.09863,-0.089068,-0.006235
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,Logistic,BOSS,TSF,MLP,SVML,SVMQ,RandF,BayesNet,C45,NB,LearnShapelets,NN,DD_DTW,NN_CID,DTD_C,SAXVSM,FastShapelets,BOP,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-591708.714301,-58786.260375,-52217.578925,-34459.119625,-33299.044137,-5700.176116,-4623.847586,-3908.042239,-3440.240893,-2212.963869,-1889.847305,-1591.392624,-5.5238890000000005,-0.235532,-0.132239,-0.129763,-0.098988,-0.06201,-0.032463,-0.018819,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,WDTW,MSM,BOP,SAXVSM,BOSS,C45,BayesNet,TSF,FastShapelets,DTW,LCSS,TWE,NN,RandF,MLP,NN_CID,ERP,DD_DTW,SVML,SVMQ,DTD_C,Logistic,RotF,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,135.673792,138.820744,153.05164,344.314632,344.314632,371.136352,371.136352,387.275416,458.365568,723.950112,728.675976,744.348288,744.348288,782.027568,792.1594,794.062592,973.500688,973.500688,1126.284952,1146.006144,1146.006144,1362.222712,1362.222712
AvgTESTMaxMemoryRankOverDsets:,2.0,2.0,2.0,4.0,5.0,6.0,7.5,7.5,9.5,9.5,11.0,12.0,13.0,14.0,15.5,15.5,17.0,18.0,19.0,20.5,20.5,22.0,23.5,23.5,25.5,25.5
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,NN,Logistic,MLP,SAXVSM,NN_CID,ERP,RandF,BOP,BayesNet,NB,TSF,SVML,LCSS,BOSS,FastShapelets,SVMQ,DTW,WDTW,MSM,RotF,LearnShapelets,TWE,DD_DTW,ShapeletTransformClassifier,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.006235,0.089068,0.09863,0.170073,0.210719,0.221491,0.263801,0.286572,0.371054,0.475163,1.928416,2.440657,2.529722,4.254813,7.011216,7.101862,8.246389,18.428132,31.575994,37.487666,47.531084,58.239958,71.518172,149.328658,331.303939,997.938506
