ACC:TESTACC,NN,BOSS,DTW,ERP,SVMQ,MSM,RotF,DTD_C,TSF,RandF,NN_CID,ShapeletTransformClassifier,FastShapelets,SVML,MLP,BayesNet,WDTW,BOP,Logistic,C45,DD_DTW,SAXVSM,TWE,NB,LearnShapelets,LCSS
AvgTESTACCOverDsets:,0.9230769230769231,0.9230769230769231,0.9076923076923077,0.9076923076923077,0.8923076923076924,0.8923076923076924,0.8769230769230769,0.8769230769230769,0.8769230769230769,0.8615384615384616,0.8615384615384616,0.8615384615384616,0.8307692307692308,0.8153846153846154,0.8153846153846154,0.8,0.7692307692307693,0.7692307692307693,0.7538461538461538,0.7384615384615385,0.7384615384615385,0.7230769230769231,0.7076923076923077,0.5538461538461539,0.49230769230769234,0.27692307692307694
AvgTESTACCRankOverDsets:,1.5,1.5,3.5,3.5,5.5,5.5,8.0,8.0,8.0,11.0,11.0,11.0,13.0,14.5,14.5,16.0,17.5,17.5,19.0,20.5,20.5,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,ShapeletTransformClassifier,TWE,MSM,RotF,WDTW,BOSS,DTW,LCSS,TSF,FastShapelets,ERP,NB,NN,NN_CID,SVMQ,LearnShapelets,SVML,MLP,BayesNet,BOP,RandF,SAXVSM,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-1338.738596,-416.105521,-242.724452,-202.639387,-120.970538,-110.260983,-75.602508,-29.187684,-27.713128,-22.758111,-8.853723,-3.275533,-1.54568,-1.2528730000000001,-1.094337,-1.043136,-1.039894,-0.74212,-0.648545,-0.613057,-0.531703,-0.508747,-0.312444,-0.2911,-0.075474,-0.013613
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,TSF,MLP,Logistic,BayesNet,C45,RandF,NB,SVMQ,SVML,NN,NN_CID,DD_DTW,DTD_C,SAXVSM,FastShapelets,BOP,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
