ACC:TESTACC,RotF,Logistic,ShapeletTransformClassifier,SVMQ,SVML,MLP,BOP,BOSS,RandF,TSF,FastShapelets,NN,DTW,MSM,ERP,DD_DTW,DTD_C,WDTW,NN_CID,LearnShapelets,C45,BayesNet,NB,SAXVSM,TWE,LCSS
AvgTESTACCOverDsets:,0.88,0.84,0.68,0.64,0.6,0.56,0.56,0.56,0.52,0.52,0.52,0.48,0.48,0.48,0.48,0.48,0.48,0.44,0.44,0.44,0.4,0.4,0.36,0.36,0.32,0.2
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,7.0,7.0,7.0,10.0,10.0,10.0,14.5,14.5,14.5,14.5,14.5,14.5,19.0,19.0,19.0,21.5,21.5,23.5,23.5,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,RotF,MSM,TWE,ShapeletTransformClassifier,WDTW,TSF,DTW,LCSS,FastShapelets,LearnShapelets,NB,SVMQ,BayesNet,MLP,BOSS,ERP,SVML,BOP,NN_CID,SAXVSM,NN,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-1181.514617,-203.79541,-145.804705,-122.697161,-112.047202,-51.555335,-44.157985,-21.558959,-8.706075,-7.849051,-3.159183,-1.4948380000000001,-1.395716,-1.1493579999999999,-1.042161,-1.005541,-0.531506,-0.485098,-0.422698,-0.385731,-0.382255,-0.351946,-0.321744,-0.228878,-0.032916,-0.011857
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,BOSS,Logistic,TSF,BayesNet,C45,NB,MLP,RandF,SVML,SVMQ,NN_CID,NN,DD_DTW,DTD_C,FastShapelets,LearnShapelets,BOP,SAXVSM,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-371387.424541,-15663.010765,-15540.180876,-9856.070271,-5291.12788,-3978.663346,-3836.496278,-3818.69137,-3082.259114,-544.113739,-316.142465,-237.683787,-0.847411,-0.258954,-0.159289,-0.153974,-0.05834,-0.022146,-0.018489,-0.012362,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,BayesNet,NN,DD_DTW,BOSS,SAXVSM,BOP,DTW,WDTW,RandF,TWE,MLP,NN_CID,SVML,SVMQ,LCSS,ERP,MSM,Logistic,DTD_C,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,52.436232,57.211328,61.28304,62.1208,69.229616,93.0074,93.64824,98.44892,100.879848,110.066288,110.066288,130.255272,146.717016,147.868528,150.383048,173.819848,531.31712,531.31712,539.842336,539.842336,539.842336
AvgTESTMaxMemoryRankOverDsets:,3.0,3.0,3.0,3.0,3.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.5,15.5,17.0,18.0,19.0,20.0,21.0,22.5,22.5,25.0,25.0,25.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,Logistic,RandF,NN,SAXVSM,NN_CID,BOP,SVML,ERP,BOSS,MLP,BayesNet,SVMQ,NB,LearnShapelets,FastShapelets,LCSS,DTW,TSF,WDTW,ShapeletTransformClassifier,TWE,MSM,RotF,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.011857,0.032916,0.228878,0.321744,0.351946,0.382255,0.385731,0.422698,0.485098,0.531506,1.005541,1.042161,1.1493579999999999,1.395716,1.4948380000000001,3.159183,7.849051,8.706075,21.558959,44.157985,51.555335,112.047202,122.697161,145.804705,203.79541,1181.514617
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,SAXVSM,BOP,LearnShapelets,FastShapelets,DTD_C,DD_DTW,NN,NN_CID,SVMQ,SVML,RandF,MLP,NB,C45,BayesNet,TSF,Logistic,BOSS,RotF,ShapeletTransformClassifier
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.012362,0.018489,0.022146,0.05834,0.153974,0.159289,0.258954,0.847411,237.683787,316.142465,544.113739,3082.259114,3818.69137,3836.496278,3978.663346,5291.12788,9856.070271,15540.180876,15663.010765,371387.424541
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

