ACC:TESTACC,TSF,RotF,WDTW,DD_DTW,FastShapelets,ShapeletTransformClassifier,NB,SVMQ,MLP,MSM,NN_CID,SAXVSM,BOSS,BayesNet,SVML,RandF,DTW,ERP,C45,TWE,BOP,Logistic,LCSS,DTD_C,LearnShapelets,NN
AvgTESTACCOverDsets:,0.9375,0.875,0.875,0.875,0.875,0.875,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.75,0.75,0.75,0.75,0.6875,0.6875,0.6875,0.625,0.625,0.625,0.625,0.5625
AvgTESTACCRankOverDsets:,1.0,4.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,16.0,16.0,16.0,16.0,16.0,20.0,20.0,20.0,23.5,23.5,23.5,23.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,RotF,MSM,TWE,ShapeletTransformClassifier,TSF,WDTW,BOSS,LCSS,DTW,FastShapelets,SVMQ,MLP,NN,ERP,NB,BayesNet,BOP,SAXVSM,LearnShapelets,NN_CID,SVML,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-1455.301074,-321.812595,-159.854535,-152.446199,-101.766519,-36.287417,-25.495681,-22.657724,-14.508697,-10.690038,-7.7992989999999995,-1.455884,-1.166016,-1.129843,-0.584831,-0.57283,-0.54694,-0.522281,-0.457719,-0.381323,-0.377611,-0.309042,-0.258886,-0.166909,-0.151078,-0.002548
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,Logistic,BayesNet,C45,NB,TSF,MLP,RandF,SVMQ,SVML,NN,NN_CID,DD_DTW,DTD_C,FastShapelets,SAXVSM,BOP,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-349526.388324,-13654.598892,-12856.860731,-4147.566722,-3923.907566,-3871.29789,-3812.001877,-3355.618462,-3016.841084,-576.075243,-161.71594,-120.475316,-0.275746,-0.154351,-0.146902,-0.136266,-0.026731,-0.010582,-0.009574,-0.007022,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
