ACC:TESTACC,BayesNet,BOSS,SVML,MLP,FastShapelets,ShapeletTransformClassifier,BOP,SAXVSM,RotF,NN_CID,WDTW,MSM,DD_DTW,TSF,LearnShapelets,C45,NB,RandF,SVMQ,DTW,TWE,ERP,NN,Logistic,DTD_C,LCSS
AvgTESTACCOverDsets:,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.875,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.75,0.75,0.6875,0.6875,0.6875,0.6875,0.625,0.5625,0.5625,0.5
AvgTESTACCRankOverDsets:,1.5,1.5,5.5,5.5,5.5,5.5,5.5,5.5,9.5,9.5,13.0,13.0,13.0,13.0,13.0,17.0,17.0,17.0,20.5,20.5,20.5,20.5,23.0,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,RotF,MSM,TWE,ShapeletTransformClassifier,TSF,WDTW,BOSS,DTW,LCSS,NB,FastShapelets,MLP,BOP,SAXVSM,BayesNet,NN,ERP,SVMQ,LearnShapelets,NN_CID,SVML,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-1146.23703,-269.335252,-152.613283,-120.084773,-114.688219,-35.923954,-22.559932,-20.971727,-15.708714,-10.042885,-4.759821,-1.934326,-1.542705,-1.132854,-0.679427,-0.574094,-0.556626,-0.524756,-0.482439,-0.411171,-0.375801,-0.341959,-0.252794,-0.169126,-0.133885,-0.003824
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
