ACC:TESTACC,WDTW,TWE,MSM,NN_CID,DD_DTW,TSF,ShapeletTransformClassifier,BOP,BOSS,DTW,ERP,DTD_C,FastShapelets,SAXVSM,SVML,SVMQ,NN,RotF,RandF,LearnShapelets,BayesNet,MLP,NB,Logistic,C45,LCSS
AvgTESTACCOverDsets:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.989247311827957,0.967741935483871,0.967741935483871,0.967741935483871,0.956989247311828,0.946236559139785,0.946236559139785,0.9247311827956989,0.9139784946236559,0.8817204301075269,0.8602150537634409,0.8602150537634409,0.11827956989247312
AvgTESTACCRankOverDsets:,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0,18.0,19.5,19.5,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,RotF,MSM,WDTW,BOSS,DTW,FastShapelets,TSF,LCSS,NN,ERP,NN_CID,SVMQ,SVML,SAXVSM,BOP,LearnShapelets,NB,RandF,BayesNet,MLP,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-375.677175,-161.364316,-57.891302,-48.452851,-34.705295,-27.659243,-21.737078,-12.285615,-3.086665,-2.6041410000000003,-1.674615,-1.578437,-0.41228,-0.408542,-0.285479,-0.229439,-0.221166,-0.212932,-0.188759,-0.167765,-0.160382,-0.147847,-0.11589,-0.071861,-0.026804,-0.005254
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,BOSS,TSF,Logistic,BayesNet,C45,NB,MLP,RandF,SVMQ,SVML,NN,NN_CID,DD_DTW,SAXVSM,DTD_C,BOP,FastShapelets,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-354565.518899,-9546.852391,-9149.925809,-3334.364211,-2067.785,-1865.650774,-1724.959665,-1620.409047,-1371.581852,-668.608396,-271.760718,-208.62482,-0.186762,-0.121228,-0.105515,-0.086678,-0.08437,-0.014264,-0.011579,-0.005431,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,BOSS,Logistic,BayesNet,NN,SVML,SVMQ,RandF,DTW,WDTW,BOP,MLP,TWE,MSM,SAXVSM,NN_CID,LCSS,ERP,DD_DTW,DTD_C,RotF,TSF,LearnShapelets,FastShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,17.07184,17.07184,27.887176,36.817136,36.817136,36.817136,39.727248,41.014824,42.7282,49.864496,53.375832,55.33,56.5816,70.054528,73.312824,88.04232,90.363808,110.75228,163.01104,165.3762,172.889752,173.729904,657.590768
