ACC:TESTACC,RotF,TSF,ShapeletTransformClassifier,SAXVSM,FastShapelets,BOSS,DTW,ERP,BOP,MSM,DTD_C,RandF,NN_CID,SVMQ,MLP,WDTW,SVML,BayesNet,NN,DD_DTW,NB,LearnShapelets,TWE,Logistic,C45,LCSS
AvgTESTACCOverDsets:,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8055555555555556,0.7777777777777778,0.75,0.75,0.75,0.7222222222222222,0.7222222222222222,0.6944444444444444,0.6944444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6388888888888888,0.6111111111111112,0.6111111111111112,0.5833333333333334,0.5277777777777778,0.5277777777777778,0.4722222222222222,0.4444444444444444,0.4444444444444444,0.25
AvgTESTACCRankOverDsets:,2.5,2.5,2.5,2.5,5.0,6.0,8.0,8.0,8.0,10.5,10.5,12.5,12.5,15.0,15.0,15.0,17.0,18.5,18.5,20.0,21.5,21.5,23.0,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,RotF,MSM,WDTW,ShapeletTransformClassifier,DTW,LCSS,BOSS,TSF,FastShapelets,MLP,NB,LearnShapelets,SVMQ,SVML,ERP,NN_CID,BOP,BayesNet,NN,SAXVSM,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-4882.932025,-1012.003428,-551.955484,-262.507859,-220.13376,-203.887773,-134.244341,-84.225382,-39.551693,-34.156106,-25.664726,-4.023757,-3.357773,-3.177349,-3.151393,-1.954196,-1.8877890000000002,-1.868825,-1.843705,-1.582409,-1.342161,-1.25549,-1.1250040000000001,-0.456231,-0.032183,-0.01479
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,MLP,TSF,Logistic,BayesNet,RandF,C45,NB,SVML,SVMQ,NN_CID,NN,DTD_C,DD_DTW,FastShapelets,LearnShapelets,BOP,SAXVSM,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-361185.401127,-70125.40097,-50769.870086,-25156.47474,-11109.800191,-10540.161355,-1907.140353,-1851.776291,-1759.708694,-1515.716849,-728.297261,-475.66409,-0.707298,-0.501149,-0.308776,-0.247799,-0.099125,-0.053186,-0.039033,-0.030922,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,LCSS,C45,BayesNet,SAXVSM,BOP,TWE,BOSS,SVML,SVMQ,RandF,WDTW,NN,DTW,Logistic,MSM,MLP,NN_CID,ERP,DD_DTW,DTD_C,TSF,RotF,ShapeletTransformClassifier,FastShapelets,LearnShapelets
AvgTESTMaxMemoryOverDsets:,0.0,0.0,17.8184,48.418112,50.609752,51.81512,54.615648,62.081416,80.297496,80.297496,91.048432,99.07364,114.183736,115.323728,118.505776,149.852736,318.956128,322.974272,334.722608,334.722608,344.502976,536.002008,638.973072,656.422152,667.616032,667.616032
AvgTESTMaxMemoryRankOverDsets:,1.5,1.5,3.0,4.0,5.0,6.0,7.0,8.0,9.5,9.5,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.5,19.5,21.0,22.0,23.0,24.0,25.5,25.5
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
