ACC:TESTACC,RotF,SVMQ,Logistic,RandF,ShapeletTransformClassifier,TSF,C45,BOP,MLP,NN,ERP,NN_CID,BOSS,SVML,DTW,WDTW,TWE,DD_DTW,DTD_C,SAXVSM,LCSS,MSM,FastShapelets,BayesNet,LearnShapelets,NB
AvgTESTACCOverDsets:,0.7222222222222222,0.6712962962962963,0.6620370370370371,0.6342592592592593,0.6342592592592593,0.6203703703703703,0.5972222222222222,0.5648148148148148,0.5555555555555556,0.5509259259259259,0.5509259259259259,0.5462962962962963,0.5462962962962963,0.5416666666666666,0.5370370370370371,0.5370370370370371,0.5370370370370371,0.5370370370370371,0.5370370370370371,0.5277777777777778,0.5185185185185185,0.5092592592592593,0.49537037037037035,0.4212962962962963,0.35648148148148145,0.35185185185185186
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.5,4.5,6.0,7.0,8.0,9.0,10.5,10.5,12.5,12.5,14.0,17.0,17.0,17.0,17.0,17.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,RotF,BOSS,MSM,WDTW,DTW,FastShapelets,LCSS,TSF,BOP,SAXVSM,NN_CID,LearnShapelets,ERP,RandF,NB,MLP,SVMQ,NN,BayesNet,Logistic,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-1053.32396,-351.807084,-221.938297,-106.3713,-34.90144,-31.751907,-26.35253,-23.951324,-9.081126,-6.207302,-4.251354,-2.253732,-0.332443,-0.267627,-0.231826,-0.222959,-0.212619,-0.171199,-0.16423,-0.11343,-0.076153,-0.067607,-0.055927,-0.026164,-0.024524,-0.010938
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,TSF,MLP,RandF,SVMQ,Logistic,BayesNet,C45,NB,SVML,SAXVSM,NN,NN_CID,DD_DTW,DTD_C,FastShapelets,BOP,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-546140.500425,-45191.035616,-35517.709181,-18434.209711,-3255.011013,-3033.727104,-2175.824528,-1711.76337,-1502.755091,-1395.962425,-1134.734308,-631.993422,-0.437008,-0.193348,-0.187918,-0.152049,-0.131143,-0.074755,-0.068138,-0.016822,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

