ACC:TESTACC,DTW,WDTW,ERP,RotF,ShapeletTransformClassifier,NB,MSM,TSF,BOSS,NN,NN_CID,BayesNet,RandF,DTD_C,C45,SVMQ,SAXVSM,BOP,FastShapelets,DD_DTW,TWE,LearnShapelets,SVML,Logistic,MLP,LCSS
AvgTESTACCOverDsets:,1.0,1.0,1.0,0.9930555555555556,0.9930555555555556,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9791666666666666,0.9791666666666666,0.9722222222222222,0.9722222222222222,0.9652777777777778,0.9236111111111112,0.9236111111111112,0.9236111111111112,0.8958333333333334,0.8819444444444444,0.8680555555555556,0.8333333333333334,0.7430555555555556,0.5347222222222222,0.5069444444444444,0.3402777777777778,0.25
AvgTESTACCRankOverDsets:,2.0,2.0,2.0,4.5,4.5,7.5,7.5,7.5,7.5,10.5,10.5,12.5,12.5,14.0,16.0,16.0,16.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,WDTW,RotF,BOSS,DTW,ShapeletTransformClassifier,LCSS,TSF,MLP,LearnShapelets,SAXVSM,BOP,NB,FastShapelets,ERP,NN_CID,NN,SVMQ,BayesNet,SVML,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-91341.138587,-34531.17377,-7677.024401,-4804.016383,-2119.77413,-1232.438518,-829.774509,-822.648224,-629.943415,-353.596582,-110.492362,-21.429319,-17.925066,-11.88633,-7.213221,-7.060839,-4.476001,-2.7573,-2.10987,-1.968107,-1.594722,-1.183883,-0.322905,-0.244071,-0.094409,-0.009683
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,BOSS,RotF,ShapeletTransformClassifier,MLP,Logistic,TSF,RandF,C45,BayesNet,SVML,SVMQ,NB,FastShapelets,BOP,LearnShapelets,SAXVSM,NN,NN_CID,DD_DTW,DTD_C,DTW,WDTW,TWE,MSM,LCSS,ERP
