ACC:TESTACC,Logistic,NB,SVML,SVMQ,RotF,RandF,MLP,DTW,TWE,MSM,NN_CID,ERP,DD_DTW,DTD_C,TSF,ShapeletTransformClassifier,BOSS,WDTW,FastShapelets,BOP,SAXVSM,C45,BayesNet,NN,LearnShapelets,LCSS
AvgTESTACCOverDsets:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9130434782608695,0.9130434782608695,0.8695652173913043,0.6956521739130435,0.5217391304347826
AvgTESTACCRankOverDsets:,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,19.5,19.5,19.5,19.5,22.5,22.5,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,TWE,DD_DTW,RotF,MSM,ShapeletTransformClassifier,WDTW,BOSS,TSF,DTW,LCSS,FastShapelets,ERP,NN,MLP,NB,BayesNet,NN_CID,SVMQ,BOP,LearnShapelets,RandF,SVML,SAXVSM,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-550.812891,-143.536544,-123.699987,-106.063968,-78.53905,-48.25977,-36.801878,-23.648863,-6.176868,-4.435962,-2.327047,-1.5211350000000001,-0.428735,-0.395631,-0.394743,-0.348554,-0.313445,-0.23005,-0.210808,-0.202301,-0.185077,-0.150896,-0.143475,-0.136517,-0.079296,-0.002685
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,BOSS,Logistic,BayesNet,C45,NB,MLP,TSF,RandF,SVML,SVMQ,NN,NN_CID,DD_DTW,DTD_C,FastShapelets,BOP,SAXVSM,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-340188.732779,-8766.116469,-6380.439449,-4033.163644,-3929.811242,-3892.929277,-3804.682157,-1532.677226,-1439.634022,-590.969799,-173.930263,-58.422887,-0.264872,-0.131886,-0.11547,-0.109654,-0.0082,-0.005504,-0.004436,-0.002991,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
