ACC:TESTACC,BOSS,BayesNet,TWE,LearnShapelets,ShapeletTransformClassifier,DD_DTW,SAXVSM,BOP,RandF,TSF,RotF,C45,NB,NN,DTD_C,WDTW,NN_CID,DTW,ERP,MSM,LCSS,SVMQ,FastShapelets,SVML,MLP,Logistic
AvgTESTACCOverDsets:,0.72,0.71,0.71,0.71,0.71,0.7,0.7,0.69,0.68,0.67,0.64,0.63,0.63,0.63,0.61,0.6,0.55,0.54,0.54,0.53,0.52,0.5,0.5,0.49,0.47,0.44
AvgTESTACCRankOverDsets:,1.0,3.5,3.5,3.5,3.5,6.5,6.5,8.0,9.0,10.0,11.0,13.0,13.0,13.0,15.0,16.0,17.0,18.5,18.5,20.0,21.0,22.5,22.5,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,RotF,WDTW,ShapeletTransformClassifier,DTW,LCSS,TSF,BOSS,BOP,MLP,FastShapelets,ERP,SAXVSM,LearnShapelets,NN,NN_CID,NB,RandF,BayesNet,SVMQ,Logistic,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-8455.423086,-1524.193522,-595.708517,-379.982213,-231.59378,-230.759199,-202.586097,-77.104634,-45.497939,-11.96389,-8.389708,-4.341859,-1.7349869999999998,-1.33941,-0.768804,-0.74859,-0.731846,-0.552695,-0.540147,-0.488617,-0.196597,-0.179885,-0.104215,-0.102693,-0.018174,-0.005339
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,MLP,TSF,Logistic,BayesNet,C45,NB,RandF,SVML,SVMQ,NN_CID,NN,DTD_C,DD_DTW,FastShapelets,BOP,SAXVSM,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-362385.597062,-180611.799997,-56874.283579,-23723.286325,-13210.870813,-2314.861684,-1653.257722,-1531.913514,-1242.876118,-1046.962231,-376.679682,-172.15118,-1.053183,-0.305776,-0.216733,-0.198726,-0.154106,-0.13617,-0.122534,-0.04501,1.0,1.0,1.0,1.0,1.0,1.0
