ACC:TESTACC,WDTW,MSM,DD_DTW,ShapeletTransformClassifier,DTD_C,TSF,SAXVSM,BOSS,TWE,NN,NN_CID,RotF,RandF,DTW,ERP,FastShapelets,BOP,MLP,SVMQ,LearnShapelets,C45,NB,SVML,Logistic,BayesNet,LCSS
AvgTESTACCOverDsets:,0.7628205128205128,0.7307692307692307,0.7051282051282052,0.6987179487179487,0.6282051282051282,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.5705128205128205,0.46153846153846156,0.44871794871794873,0.4358974358974359,0.4358974358974359,0.3974358974358974,0.3974358974358974,0.3974358974358974,0.3717948717948718,0.3525641025641026,0.34615384615384615,0.34615384615384615,0.28205128205128205,0.27564102564102566,0.27564102564102566,0.23717948717948717,0.14743589743589744,0.057692307692307696
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,7.0,7.0,7.0,9.0,10.0,11.0,12.5,12.5,15.0,15.0,15.0,17.0,18.0,19.5,19.5,21.0,22.5,22.5,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,ShapeletTransformClassifier,TWE,MSM,RotF,WDTW,DTW,LCSS,FastShapelets,BOSS,TSF,LearnShapelets,SVMQ,NB,SAXVSM,MLP,ERP,NN_CID,BayesNet,SVML,BOP,RandF,NN,C45,Logistic
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-2929.828872,-462.195833,-293.788784,-180.455972,-152.091343,-68.756275,-61.976874,-24.016102,-10.595844,-7.428725,-5.653676,-4.074893,-2.5798680000000003,-0.862532,-0.834807,-0.68556,-0.377642,-0.37596,-0.318144,-0.302166,-0.292105,-0.209246,-0.198514,-0.183495,-0.026204,-0.02109
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,TSF,Logistic,MLP,RandF,C45,SVML,BayesNet,NB,SVMQ,NN_CID,SAXVSM,LearnShapelets,FastShapelets,NN,DD_DTW,BOP,DTD_C,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-509966.678777,-99220.485099,-63393.06007,-28243.93974,-21889.884013,-6775.516478,-3061.908875,-1891.47576,-1875.446628,-1761.32238,-1482.46703,-1395.133778,-1.131256,-0.881921,-0.337815,-0.302047,-0.200434,-0.126334,-0.124859,-0.124486,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
