ACC:TESTACC,ShapeletTransformClassifier,BOSS,TSF,MSM,WDTW,DD_DTW,SAXVSM,RotF,RandF,TWE,DTD_C,LearnShapelets,DTW,ERP,BOP,NN,NN_CID,NB,SVMQ,FastShapelets,SVML,MLP,C45,BayesNet,Logistic,LCSS
AvgTESTACCOverDsets:,0.6987179487179487,0.6923076923076923,0.6730769230769231,0.6666666666666666,0.6346153846153846,0.6346153846153846,0.5641025641025641,0.5576923076923077,0.5256410256410257,0.5256410256410257,0.5192307692307693,0.46794871794871795,0.46153846153846156,0.46153846153846156,0.44871794871794873,0.4423076923076923,0.42948717948717946,0.38461538461538464,0.38461538461538464,0.3782051282051282,0.3717948717948718,0.358974358974359,0.30128205128205127,0.2564102564102564,0.23076923076923078,0.02564102564102564
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.5,5.5,7.0,8.0,9.5,9.5,11.0,12.0,13.5,13.5,15.0,16.0,17.0,18.5,18.5,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,ShapeletTransformClassifier,TWE,MSM,RotF,WDTW,DTW,BOSS,LCSS,FastShapelets,TSF,LearnShapelets,SVMQ,NB,ERP,MLP,RandF,NN_CID,BOP,BayesNet,SAXVSM,SVML,NN,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-2722.640568,-495.364277,-265.724657,-182.357227,-162.132942,-68.434805,-66.580102,-32.510678,-16.627649,-10.708922,-6.258615,-4.136549,-2.582417,-0.831556,-0.823133,-0.385445,-0.383689,-0.352764,-0.319529,-0.299834,-0.280783,-0.269076,-0.24123,-0.180092,-0.021303,-0.019397
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
