ACC:TESTACC,ShapeletTransformClassifier,BOSS,MSM,DD_DTW,WDTW,TSF,SAXVSM,DTD_C,RandF,TWE,BOP,NN_CID,RotF,NN,DTW,ERP,SVMQ,FastShapelets,LearnShapelets,MLP,NB,SVML,Logistic,C45,BayesNet,LCSS
AvgTESTACCOverDsets:,0.75,0.7435897435897436,0.7307692307692307,0.7243589743589743,0.7115384615384616,0.6217948717948718,0.6217948717948718,0.5833333333333334,0.5705128205128205,0.5512820512820513,0.532051282051282,0.5192307692307693,0.4935897435897436,0.48717948717948717,0.46153846153846156,0.4551282051282051,0.44871794871794873,0.4423076923076923,0.42948717948717946,0.3717948717948718,0.358974358974359,0.3141025641025641,0.2692307692307692,0.24358974358974358,0.08333333333333333,0.03205128205128205
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.5,6.5,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,ShapeletTransformClassifier,TWE,MSM,RotF,WDTW,DTW,LCSS,BOSS,FastShapelets,TSF,LearnShapelets,NB,SVMQ,SAXVSM,MLP,ERP,NN_CID,SVML,BayesNet,BOP,RandF,NN,C45,Logistic
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-2720.770657,-455.887149,-292.269202,-175.058238,-160.441073,-68.774974,-61.970859,-46.264951,-20.46506,-11.034604999999999,-6.403989,-4.136448,-2.5846270000000002,-1.067639,-0.890503,-0.429481,-0.388946,-0.375162,-0.325998,-0.306035,-0.299179,-0.237862,-0.218148,-0.184435,-0.030368,-0.02112
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,TSF,Logistic,MLP,RandF,C45,BayesNet,NB,SVML,SVMQ,SAXVSM,LearnShapelets,FastShapelets,NN,NN_CID,DTD_C,DD_DTW,BOP,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-499106.516798,-111395.285576,-76197.899463,-23664.987933,-18209.249003,-8104.029567,-3184.258097,-2164.833502,-1981.834752,-1558.775057,-1299.853568,-965.745623,-2.30635,-0.336623,-0.232767,-0.196689,-0.140653,-0.131697,-0.131571,-0.118176,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,MSM,BOP,BayesNet,C45,NN_CID,LCSS,ERP,DTW,DD_DTW,WDTW,TWE,SVMQ,DTD_C,SVML,NN,Logistic,RandF,MLP,TSF,RotF,FastShapelets,LearnShapelets,BOSS,ShapeletTransformClassifier,SAXVSM
AvgTESTMaxMemoryOverDsets:,0.0,81.084232,101.733024,109.261664,109.272856,119.897024,120.467552,137.6618,140.952368,141.447128,153.604224,168.18372,208.163632,209.653456,223.953648,233.395728,338.379384,338.379384,338.379384,347.460176,386.003008,517.038088,517.038088,732.485544,1032.965912,1032.965912
AvgTESTMaxMemoryRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,18.0,18.0,18.0,20.0,21.0,22.5,22.5,24.0,25.5,25.5
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,Logistic,C45,NN,RandF,BOP,BayesNet,SVML,NN_CID,ERP,MLP,SAXVSM,SVMQ,NB,LearnShapelets,TSF,FastShapelets,BOSS,LCSS,DTW,WDTW,RotF,MSM,TWE,ShapeletTransformClassifier,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.02112,0.030368,0.184435,0.218148,0.237862,0.299179,0.306035,0.325998,0.375162,0.388946,0.429481,0.890503,1.067639,2.5846270000000002,4.136448,6.403989,11.034604999999999,20.46506,46.264951,61.970859,68.774974,160.441073,175.058238,292.269202,455.887149,2720.770657
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,BOP,DD_DTW,DTD_C,NN_CID,NN,FastShapelets,LearnShapelets,SAXVSM,SVMQ,SVML,NB,BayesNet,C45,RandF,MLP,Logistic,TSF,RotF,BOSS,ShapeletTransformClassifier
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.118176,0.131571,0.131697,0.140653,0.196689,0.232767,0.336623,2.30635,965.745623,1299.853568,1558.775057,1981.834752,2164.833502,3184.258097,8104.029567,18209.249003,23664.987933,76197.899463,111395.285576,499106.516798
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

