ACC:TESTACC,C45,TSF,FastShapelets,Logistic,RotF,RandF,MLP,NN,WDTW,DD_DTW,BOP,BayesNet,SVML,SVMQ,DTW,TWE,NN_CID,ERP,ShapeletTransformClassifier,NB,MSM,DTD_C,BOSS,SAXVSM,LearnShapelets,LCSS
AvgTESTACCOverDsets:,1.0,1.0,1.0,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.9538461538461539,0.9538461538461539,0.9538461538461539,0.9538461538461539,0.9076923076923077,0.4307692307692308,0.3076923076923077
AvgTESTACCRankOverDsets:,2.0,2.0,2.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,21.5,21.5,21.5,21.5,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,ShapeletTransformClassifier,TWE,RotF,MSM,WDTW,BOSS,DTW,LCSS,TSF,FastShapelets,SVML,SVMQ,LearnShapelets,NB,NN,MLP,BayesNet,ERP,BOP,SAXVSM,NN_CID,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-1252.874582,-225.238316,-157.40073,-128.645353,-81.900196,-64.011341,-54.992867,-27.822103,-25.338038,-17.050222,-4.6698640000000005,-2.7108280000000002,-0.880745,-0.844544,-0.754674,-0.672865,-0.567281,-0.490687,-0.38938,-0.322541,-0.306604,-0.195886,-0.173411,-0.13872,-0.050568,-0.005627
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,MLP,TSF,Logistic,BayesNet,C45,NB,RandF,SVMQ,SVML,NN,DD_DTW,NN_CID,DTD_C,LearnShapelets,FastShapelets,BOP,SAXVSM,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-354453.943673,-20878.229339,-14851.055762,-4918.310564,-3964.448782,-2567.699268,-1695.981183,-1582.365571,-1258.650122,-430.496802,-253.927238,-203.527407,-0.204304,-0.136312,-0.134018,-0.111904,-0.023439,-0.016908,-0.011894,-0.011297,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,NN,TWE,MSM,DTD_C,C45,BayesNet,RandF,BOP,SAXVSM,DTW,WDTW,Logistic,SVML,SVMQ,BOSS,MLP,NN_CID,LCSS,ERP,DD_DTW,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,16.656824,30.383216,32.23128,48.485712,49.059912,50.007384,52.004432,56.151296,56.151296,56.151296,86.030376,141.800048,170.604352,178.04228,205.483088,216.780264,390.138712,397.710936,412.392432,412.392432,704.266888
AvgTESTMaxMemoryRankOverDsets:,3.0,3.0,3.0,3.0,3.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,14.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.5,24.5,26.0
