ACC:TESTACC,ShapeletTransformClassifier,LearnShapelets,BayesNet,NB,RotF,RandF,ERP,DTW,NN,NN_CID,DTD_C,SAXVSM,BOP,SVMQ,MLP,TSF,BOSS,DD_DTW,MSM,C45,FastShapelets,SVML,Logistic,WDTW,TWE,LCSS
AvgTESTACCOverDsets:,0.8425925925925926,0.8240740740740741,0.8148148148148148,0.8055555555555556,0.8055555555555556,0.7962962962962963,0.7962962962962963,0.7870370370370371,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7685185185185185,0.7592592592592593,0.7592592592592593,0.7592592592592593,0.7592592592592593,0.7407407407407407,0.7314814814814815,0.7129629629629629,0.7129629629629629,0.7037037037037037,0.6944444444444444,0.6944444444444444,0.6481481481481481,0.37037037037037035
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.5,4.5,6.5,6.5,8.0,10.5,10.5,10.5,10.5,13.0,15.5,15.5,15.5,15.5,18.0,19.0,20.5,20.5,22.0,23.5,23.5,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,ShapeletTransformClassifier,DTD_C,DD_DTW,TWE,MSM,RotF,WDTW,FastShapelets,BOSS,DTW,TSF,LCSS,ERP,NN,NN_CID,SVMQ,RandF,NB,BayesNet,BOP,LearnShapelets,SAXVSM,SVML,MLP,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-272.249607,-160.22869,-42.303534,-21.883821,-19.227974,-17.000794,-5.028811,-3.95757,-2.749023,-1.93742,-1.219732,-1.047017,-0.36206,-0.317949,-0.288384,-0.194846,-0.16256,-0.127485,-0.121995,-0.095611,-0.089592,-0.057022,-0.053166,-0.041747,-0.032033,-0.005287
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,TSF,BOSS,Logistic,BayesNet,NB,C45,MLP,RandF,NN_CID,SVMQ,SVML,NN,DTD_C,DD_DTW,SAXVSM,BOP,FastShapelets,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-383148.510829,-8336.485625,-4826.349275,-4131.177557,-4083.278115,-3950.56266,-3841.817179,-3837.266115,-921.020024,-906.122162,-385.60325,-212.441154,-163.166214,-0.26789,-0.161179,-0.11617,-0.032308,-0.006048,-0.005371,-0.004397,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,BayesNet,DTW,WDTW,DTD_C,Logistic,SVML,SVMQ,NN,RandF,MLP,TWE,BOP,MSM,BOSS,SAXVSM,NN_CID,LCSS,ERP,DD_DTW,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,0.0,16.211712,20.06768,20.06768,22.227648,25.654264,29.728568,32.59364,35.935008,37.224528,41.086904,43.188184,46.6278,50.44208,55.287176,58.39972,114.731648,115.598728,121.837016,121.837016,964.95572
AvgTESTMaxMemoryRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.5,8.5,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
