ACC:TESTACC,ShapeletTransformClassifier,RotF,TSF,FastShapelets,DD_DTW,DTD_C,SVMQ,MSM,RandF,DTW,NN_CID,ERP,WDTW,LearnShapelets,SVML,SAXVSM,NB,MLP,NN,TWE,C45,BOP,BOSS,Logistic,BayesNet,LCSS
AvgTESTACCOverDsets:,0.875,0.8636363636363636,0.8522727272727273,0.8522727272727273,0.8409090909090909,0.8295454545454546,0.8181818181818182,0.8181818181818182,0.8068181818181818,0.8068181818181818,0.8068181818181818,0.8068181818181818,0.7954545454545454,0.7954545454545454,0.7727272727272727,0.7613636363636364,0.7386363636363636,0.7386363636363636,0.7386363636363636,0.7159090909090909,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.6931818181818182,0.6931818181818182,0.4659090909090909
AvgTESTACCRankOverDsets:,1.0,2.0,3.5,3.5,5.0,6.0,7.5,7.5,10.5,10.5,10.5,10.5,13.5,13.5,15.0,16.0,18.0,18.0,18.0,20.0,22.0,22.0,22.0,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,MSM,RotF,BOSS,WDTW,DTW,TSF,LCSS,FastShapelets,ERP,NN,NN_CID,RandF,BOP,SAXVSM,NB,BayesNet,LearnShapelets,MLP,Logistic,SVMQ,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-346.215313,-290.320167,-101.570103,-44.840273,-43.88817,-38.395953,-7.714382,-6.837147,-4.174689,-3.133535,-1.79452,-1.13465,-0.841898,-0.646692,-0.555683,-0.431123,-0.270356,-0.18575,-0.154879,-0.140061,-0.098441,-0.087238,-0.04501,-0.04016,-0.03208,-0.008968
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
