ACC:TESTACC,RotF,ShapeletTransformClassifier,MLP,TSF,BOSS,RandF,FastShapelets,SVMQ,ERP,SVML,NN,DTW,TWE,NB,BayesNet,MSM,LearnShapelets,WDTW,NN_CID,DD_DTW,DTD_C,BOP,C45,Logistic,SAXVSM,LCSS
AvgTESTACCOverDsets:,0.7706422018348624,0.7522935779816514,0.7431192660550459,0.7431192660550459,0.7431192660550459,0.7247706422018348,0.7247706422018348,0.7155963302752294,0.7155963302752294,0.7064220183486238,0.7064220183486238,0.7064220183486238,0.7064220183486238,0.6972477064220184,0.6972477064220184,0.6972477064220184,0.6972477064220184,0.6880733944954128,0.6880733944954128,0.6880733944954128,0.6880733944954128,0.6880733944954128,0.6788990825688074,0.6422018348623854,0.6422018348623854,0.07339449541284404
AvgTESTACCRankOverDsets:,1.0,2.0,4.0,4.0,4.0,6.5,6.5,8.5,8.5,11.5,11.5,11.5,11.5,15.5,15.5,15.5,15.5,20.0,20.0,20.0,20.0,20.0,23.0,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,ShapeletTransformClassifier,DTD_C,DD_DTW,RotF,TWE,MSM,WDTW,FastShapelets,BOSS,DTW,TSF,LCSS,SVMQ,ERP,SVML,NN_CID,NN,LearnShapelets,NB,BayesNet,BOP,RandF,SAXVSM,MLP,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-344.027271,-182.660303,-28.945928,-22.327246,-21.992107,-17.936195,-9.790312,-3.307285,-2.587203,-2.119853,-1.360424,-1.03282,-0.350775,-0.33417,-0.317619,-0.258608,-0.243479,-0.242605,-0.23368,-0.176677,-0.109936,-0.104703,-0.085395,-0.045092,-0.040642,-0.00672
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,TSF,BOSS,Logistic,BayesNet,C45,NB,RandF,MLP,SVMQ,SVML,NN,NN_CID,DD_DTW,DTD_C,SAXVSM,LearnShapelets,BOP,FastShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-400655.922212,-8982.472561,-5756.669805,-4390.811578,-4244.819538,-3973.666192,-3909.005423,-3797.809093,-1358.616674,-838.1776,-353.965213,-241.976453,-0.207992,-0.146124,-0.114198,-0.099315,-0.031038,-0.011732,-0.005669,-0.004864,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,BayesNet,MSM,LCSS,Logistic,NN,DTW,MLP,WDTW,TWE,SVML,SVMQ,RandF,BOP,BOSS,NN_CID,SAXVSM,ERP,DD_DTW,DTD_C,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,17.567872,24.685832,30.785904,32.1388,35.811944,35.811944,37.562256,37.562256,37.562256,39.452688,45.587672,45.942048,46.054816,51.839352,53.409616,55.35488,117.414856,121.827632,127.769992,127.769992,1124.087496
AvgTESTMaxMemoryRankOverDsets:,3.0,3.0,3.0,3.0,3.0,6.0,7.0,8.0,9.0,10.5,10.5,13.0,13.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,Logistic,MLP,SAXVSM,RandF,BOP,BayesNet,NB,LearnShapelets,NN,NN_CID,SVML,ERP,SVMQ,LCSS,TSF,DTW,BOSS,FastShapelets,WDTW,MSM,TWE,RotF,DD_DTW,DTD_C,ShapeletTransformClassifier
AvgTESTAvgPredTimesOverDsets:,0.00672,0.040642,0.045092,0.085395,0.104703,0.109936,0.176677,0.23368,0.242605,0.243479,0.258608,0.317619,0.33417,0.350775,1.03282,1.360424,2.119853,2.587203,3.307285,9.790312,17.936195,21.992107,22.327246,28.945928,182.660303,344.027271
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
