ACC:TESTACC,SVML,NB,SVMQ,RotF,RandF,MLP,NN,TSF,ShapeletTransformClassifier,BOSS,DTW,WDTW,NN_CID,ERP,MSM,DTD_C,SAXVSM,LearnShapelets,TWE,DD_DTW,C45,BOP,FastShapelets,Logistic,BayesNet,LCSS
AvgTESTACCOverDsets:,0.952,0.944,0.944,0.936,0.936,0.936,0.936,0.936,0.936,0.928,0.92,0.912,0.912,0.912,0.904,0.904,0.904,0.896,0.88,0.88,0.872,0.872,0.864,0.84,0.84,0.072
AvgTESTACCRankOverDsets:,1.0,2.5,2.5,6.5,6.5,6.5,6.5,6.5,6.5,10.0,11.0,13.0,13.0,13.0,16.0,16.0,16.0,18.0,19.5,19.5,21.5,21.5,23.0,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,MSM,RotF,BOSS,WDTW,DTW,LCSS,TSF,FastShapelets,ERP,NN_CID,LearnShapelets,NB,SAXVSM,BOP,BayesNet,RandF,SVMQ,SVML,NN,MLP,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-411.310792,-127.106806,-85.404404,-55.139691,-49.381066,-36.580593,-27.438245,-18.660962,-3.932536,-2.204407,-1.590549,-1.2305570000000001,-0.583138,-0.417198,-0.395075,-0.33538,-0.233215,-0.178014,-0.17239,-0.163243,-0.133177,-0.111999,-0.10315,-0.072569,-0.03554,-0.003208
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
