ACC:TESTACC,TWE,TSF,FastShapelets,ShapeletTransformClassifier,SAXVSM,BOSS,SVMQ,RotF,MSM,BOP,WDTW,DD_DTW,Logistic,SVML,MLP,DTD_C,NN,RandF,DTW,ERP,NN_CID,NB,BayesNet,C45,LearnShapelets,LCSS
AvgTESTACCOverDsets:,1.0,1.0,1.0,1.0,1.0,1.0,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9775280898876404,0.9775280898876404,0.9662921348314607,0.9662921348314607,0.9662921348314607,0.9550561797752809,0.9325842696629213,0.9213483146067416,0.9101123595505618,0.9101123595505618,0.8876404494382022,0.8764044943820225,0.8764044943820225,0.7865168539325843,0.7640449438202247,0.5280898876404494
AvgTESTACCRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,8.5,8.5,8.5,8.5,11.5,11.5,14.0,14.0,14.0,16.0,17.0,18.0,19.5,19.5,21.0,22.5,22.5,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,RotF,MSM,BOSS,WDTW,DTW,TSF,LCSS,FastShapelets,ERP,NN,NN_CID,BOP,RandF,BayesNet,NB,SAXVSM,MLP,LearnShapelets,SVMQ,Logistic,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-358.202847,-288.515419,-94.114556,-45.773642,-38.354952,-18.179198,-14.910555,-7.675633,-2.999802,-1.952232,-1.502353,-1.324767,-0.415489,-0.299816,-0.285579,-0.2461,-0.169125,-0.107259,-0.10519,-0.092002,-0.091558,-0.083468,-0.044228,-0.033424,-0.030075,-0.002762
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
