ACC:TESTACC,TSF,RotF,MLP,NN,LCSS,FastShapelets,ShapeletTransformClassifier,BOSS,RandF,C45,NB,DD_DTW,SAXVSM,TWE,DTD_C,MSM,BOP,WDTW,DTW,ERP,NN_CID,SVMQ,BayesNet,Logistic,SVML,LearnShapelets
AvgTESTACCOverDsets:,0.8172043010752689,0.7956989247311828,0.7956989247311828,0.7956989247311828,0.7956989247311828,0.7956989247311828,0.7956989247311828,0.7956989247311828,0.7849462365591398,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.7526881720430108,0.7419354838709677,0.7419354838709677,0.7311827956989247,0.6989247311827957,0.6881720430107527,0.6666666666666666,0.6666666666666666,0.6129032258064516,0.5483870967741935,0.5376344086021505,0.5268817204301075,0.5268817204301075,0.44086021505376344
AvgTESTACCRankOverDsets:,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,11.0,11.0,11.0,13.0,14.5,14.5,16.0,17.0,18.0,19.5,19.5,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,RotF,ShapeletTransformClassifier,WDTW,BOSS,DTW,LCSS,TSF,BOP,NN,MLP,FastShapelets,ERP,LearnShapelets,BayesNet,SAXVSM,NN_CID,NB,RandF,Logistic,SVMQ,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-4209.215711,-881.986988,-368.884691,-287.340334,-198.968836,-176.22469,-137.078277,-104.613375,-52.704369,-45.602417,-16.191858,-2.583453,-1.523989,-1.141631,-1.049951,-0.592212,-0.527274,-0.381051,-0.334641,-0.330126,-0.287211,-0.206806,-0.109385,-0.092507,-0.030066,-0.003029
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,MLP,TSF,Logistic,BayesNet,C45,NB,RandF,SVML,SVMQ,NN,NN_CID,DD_DTW,FastShapelets,DTD_C,BOP,SAXVSM,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-364915.883519,-125408.04322,-34914.048106,-18677.068015,-11010.963781,-2407.49177,-2123.487748,-1884.501445,-1758.847401,-1227.248228,-279.296011,-187.042302,-0.2909,-0.248269,-0.150208,-0.140935,-0.140239,-0.130021,-0.09414,-0.031892,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,NN,DTW,WDTW,DTD_C,Logistic,BayesNet,RandF,SVML,SVMQ,BOP,LearnShapelets,TWE,SAXVSM,BOSS,MSM,MLP,LCSS,NN_CID,ERP,DD_DTW,RotF,TSF,FastShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,0.0,25.944288,25.944288,34.60412,39.883776,39.883776,95.263952,123.60276,138.310808,182.627112,253.05112,344.65676,357.476264,368.709416,368.754584,442.930832,448.103848,565.782976,607.747952,607.747952,727.729992
