ACC:TESTACC,ShapeletTransformClassifier,TSF,DD_DTW,BOSS,MSM,RotF,WDTW,BOP,LearnShapelets,TWE,DTD_C,RandF,SAXVSM,NN_CID,NB,NN,DTW,ERP,BayesNet,MLP,C45,SVML,SVMQ,Logistic,FastShapelets,LCSS
AvgTESTACCOverDsets:,0.8125,0.6682692307692307,0.6634615384615384,0.6538461538461539,0.6490384615384616,0.6466346153846154,0.6442307692307693,0.6225961538461539,0.6153846153846154,0.6081730769230769,0.6081730769230769,0.5961538461538461,0.5889423076923077,0.5288461538461539,0.5264423076923077,0.5264423076923077,0.5240384615384616,0.5144230769230769,0.5,0.4495192307692308,0.43990384615384615,0.4375,0.4254807692307692,0.31971153846153844,0.25721153846153844,0.25240384615384615
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.5,10.5,12.0,13.0,14.0,15.5,15.5,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,MSM,WDTW,RotF,DTW,FastShapelets,BOSS,LCSS,TSF,ERP,SAXVSM,LearnShapelets,NN,NB,SVMQ,NN_CID,BOP,RandF,SVML,BayesNet,MLP,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-717.312982,-310.322989,-142.093805,-53.020682,-38.683229,-22.086863,-17.075673,-8.801703,-7.561946,-6.677356,-4.912168,-1.319048,-0.522138,-0.430448,-0.408696,-0.3366,-0.301836,-0.292814,-0.261683,-0.224057,-0.162037,-0.079094,-0.067819,-0.048435,-0.032498,-0.022782
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
