ACC:TESTACC,MSM,TSF,BOSS,SAXVSM,WDTW,BOP,DD_DTW,ShapeletTransformClassifier,TWE,RotF,NB,RandF,DTD_C,Logistic,DTW,NN_CID,SVMQ,LearnShapelets,SVML,MLP,FastShapelets,ERP,NN,C45,BayesNet,LCSS
AvgTESTACCOverDsets:,0.9469026548672567,0.9203539823008849,0.9203539823008849,0.9026548672566371,0.8938053097345132,0.8849557522123894,0.8761061946902655,0.8761061946902655,0.831858407079646,0.8141592920353983,0.7964601769911505,0.7876106194690266,0.7610619469026548,0.7433628318584071,0.7433628318584071,0.7345132743362832,0.7256637168141593,0.7256637168141593,0.7168141592920354,0.7168141592920354,0.6991150442477876,0.6902654867256637,0.6460176991150443,0.5398230088495575,0.504424778761062,0.02654867256637168
AvgTESTACCRankOverDsets:,1.0,2.5,2.5,4.0,5.0,6.0,7.5,7.5,9.0,10.0,11.0,12.0,13.0,14.5,14.5,16.0,17.5,17.5,19.5,19.5,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,RotF,MSM,BOSS,WDTW,DTW,FastShapelets,SVMQ,TSF,LCSS,NB,LearnShapelets,SVML,BOP,SAXVSM,BayesNet,ERP,RandF,NN_CID,MLP,NN,C45,Logistic
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-351.028159,-253.783501,-107.775766,-31.83069,-27.806302,-26.254117,-10.791837,-10.277468,-5.989772,-4.152221,-2.404386,-2.134071,-1.629744,-1.083815,-1.042735,-0.995981,-0.563233,-0.359484,-0.242653,-0.218397,-0.213484,-0.09164,-0.077938,-0.074473,-0.026999,-0.016924
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,BOSS,Logistic,TSF,RandF,MLP,SVML,SVMQ,C45,BayesNet,NB,SAXVSM,NN,DD_DTW,NN_CID,DTD_C,LearnShapelets,FastShapelets,BOP,DTW,WDTW,TWE,MSM,LCSS,ERP
