ACC:TESTACC,RotF,ShapeletTransformClassifier,SAXVSM,BOSS,RandF,BOP,BayesNet,SVML,SVMQ,MLP,NN,MSM,TSF,NB,Logistic,WDTW,DD_DTW,DTD_C,FastShapelets,LearnShapelets,DTW,ERP,NN_CID,C45,TWE,LCSS
AvgTESTACCOverDsets:,1.0,1.0,1.0,1.0,0.9705882352941176,0.9705882352941176,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9117647058823529,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8529411764705882,0.8529411764705882,0.7941176470588235,0.7352941176470589,0.7352941176470589,0.17647058823529413
AvgTESTACCRankOverDsets:,2.5,2.5,2.5,2.5,5.5,5.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,17.5,17.5,17.5,17.5,17.5,17.5,21.5,21.5,23.0,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,MSM,DD_DTW,TWE,RotF,ShapeletTransformClassifier,WDTW,BOSS,DTW,TSF,LCSS,FastShapelets,MLP,NB,ERP,LearnShapelets,BayesNet,NN,SVML,SVMQ,NN_CID,BOP,SAXVSM,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-1084.855998,-161.99581,-154.512168,-113.937406,-105.302893,-82.415582,-48.982795,-28.813015,-20.662781,-11.536298,-5.508187,-3.015357,-0.793246,-0.790612,-0.773389,-0.752877,-0.612258,-0.546113,-0.53367,-0.397408,-0.391472,-0.321085,-0.278254,-0.210692,-0.107465,-0.007157
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,TSF,Logistic,BayesNet,C45,NB,MLP,RandF,SVML,SVMQ,NN,NN_CID,DD_DTW,DTD_C,FastShapelets,SAXVSM,BOP,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-345355.771768,-16142.993371,-13156.085519,-4414.766271,-4287.457694,-3882.420064,-3775.306992,-3741.712582,-2533.649952,-623.849397,-187.151983,-172.087168,-0.266204,-0.151933,-0.144503,-0.111953,-0.042186,-0.017697,-0.012893,-0.012289,1.0,1.0,1.0,1.0,1.0,1.0
