ACC:TESTACC,MSM,BOSS,SAXVSM,WDTW,BOP,DD_DTW,TSF,ShapeletTransformClassifier,TWE,RotF,LearnShapelets,RandF,ERP,DTW,DTD_C,NB,Logistic,NN,FastShapelets,SVMQ,MLP,NN_CID,SVML,BayesNet,C45,LCSS
AvgTESTACCOverDsets:,0.9469026548672567,0.911504424778761,0.8849557522123894,0.8672566371681416,0.8672566371681416,0.8495575221238938,0.8495575221238938,0.8407079646017699,0.8141592920353983,0.7522123893805309,0.7522123893805309,0.7256637168141593,0.7079646017699115,0.6991150442477876,0.6991150442477876,0.6814159292035398,0.672566371681416,0.672566371681416,0.672566371681416,0.6548672566371682,0.6460176991150443,0.6371681415929203,0.6017699115044248,0.49557522123893805,0.39823008849557523,0.035398230088495575
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.5,4.5,6.5,6.5,8.0,9.0,10.5,10.5,12.0,13.0,14.5,14.5,16.0,18.0,18.0,18.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,MSM,RotF,WDTW,FastShapelets,BOSS,DTW,TSF,SVMQ,LCSS,SVML,LearnShapelets,ERP,NB,SAXVSM,NN,BOP,NN_CID,RandF,BayesNet,MLP,C45,Logistic
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-345.979977,-255.327904,-88.031406,-54.371181,-48.937104,-27.774018,-23.207744,-4.736472,-4.493977,-3.400254,-2.044242,-1.845747,-1.612762,-1.555638,-1.057644,-0.674604,-0.591304,-0.546554,-0.476317,-0.418609,-0.362072,-0.255659,-0.234761,-0.081347,-0.028222,-0.020739
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,BOSS,TSF,Logistic,RandF,BayesNet,C45,NB,MLP,SVML,SVMQ,NN,SAXVSM,DD_DTW,NN_CID,DTD_C,LearnShapelets,FastShapelets,BOP,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-423596.159305,-19949.644483,-13112.574849,-7748.574447,-4682.20076,-2367.089467,-1839.327198,-1790.941344,-1609.439355,-1229.937579,-968.006373,-832.313422,-0.313772,-0.220033,-0.16319,-0.131224,-0.09799,-0.093718,-0.026155,-0.02351,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,TWE,NN_CID,LCSS,C45,NN,DTW,BayesNet,WDTW,MSM,BOP,BOSS,SAXVSM,ERP,DD_DTW,RandF,MLP,Logistic,SVML,SVMQ,DTD_C,TSF,RotF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,16.07556,35.558016,41.731728,44.757568,46.733776,55.369928,55.562144,63.250232,73.411992,77.270048,81.267176,83.44992,83.44992,89.380248,89.380248,89.380248,104.692784,174.663032,175.634664,199.259056,199.259056,881.857856
AvgTESTMaxMemoryRankOverDsets:,2.5,2.5,2.5,2.5,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.5,16.5,19.0,19.0,19.0,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
