ACC:TESTACC,MSM,WDTW,ShapeletTransformClassifier,DD_DTW,TSF,BOSS,RotF,NN_CID,DTW,ERP,NN,RandF,SVMQ,MLP,DTD_C,BOP,SVML,TWE,LearnShapelets,FastShapelets,NB,Logistic,SAXVSM,C45,BayesNet,LCSS
AvgTESTACCOverDsets:,0.7706093189964157,0.7383512544802867,0.6810035842293907,0.6630824372759857,0.6630824372759857,0.6379928315412187,0.6164874551971327,0.6164874551971327,0.6093189964157706,0.6093189964157706,0.5949820788530465,0.5913978494623656,0.5770609318996416,0.5663082437275986,0.5448028673835126,0.5448028673835126,0.5412186379928315,0.5017921146953405,0.4838709677419355,0.4767025089605735,0.4551971326164875,0.43010752688172044,0.4050179211469534,0.35125448028673834,0.1971326164874552,0.05017921146953405
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.5,4.5,6.0,7.5,7.5,9.5,9.5,11.0,12.0,13.0,14.0,15.5,15.5,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,ShapeletTransformClassifier,TWE,MSM,WDTW,RotF,DTW,BOSS,SVML,LCSS,SVMQ,LearnShapelets,FastShapelets,NB,TSF,SAXVSM,BayesNet,ERP,BOP,RandF,NN_CID,MLP,NN,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-3503.982668,-529.16604,-271.911442,-231.197096,-165.538106,-106.775543,-78.669521,-40.926371,-21.446211,-19.999153,-17.238924,-13.301654,-10.568162,-7.218353,-4.870653,-4.565378,-1.349394,-0.913922,-0.635952,-0.601733,-0.551433,-0.508899,-0.415893,-0.208821,-0.18602,-0.02351
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
