ACC:TESTACC,ShapeletTransformClassifier,SAXVSM,BOSS,BOP,RotF,MLP,MSM,SVMQ,RandF,SVML,NN,TSF,WDTW,DTW,NN_CID,ERP,DD_DTW,TWE,Logistic,FastShapelets,LearnShapelets,DTD_C,BayesNet,C45,NB,LCSS
AvgTESTACCOverDsets:,0.9,0.8571428571428571,0.8571428571428571,0.8285714285714286,0.7428571428571429,0.7142857142857143,0.7142857142857143,0.7,0.7,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.6428571428571429,0.6142857142857143,0.6142857142857143,0.6142857142857143,0.6142857142857143,0.6,0.5857142857142857,0.5857142857142857,0.5714285714285714,0.5571428571428572,0.5285714285714286,0.4857142857142857,0.44285714285714284,0.14285714285714285
AvgTESTACCRankOverDsets:,1.0,2.5,2.5,4.0,5.0,6.5,6.5,8.5,8.5,11.0,11.0,11.0,13.0,15.5,15.5,15.5,15.5,18.0,19.5,19.5,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,ShapeletTransformClassifier,TWE,RotF,MSM,WDTW,BOSS,DTW,LCSS,TSF,FastShapelets,LearnShapelets,NB,MLP,BOP,NN,SVMQ,SAXVSM,SVML,BayesNet,ERP,NN_CID,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-2472.261394,-407.658679,-209.187634,-178.446737,-130.771772,-122.712759,-91.395341,-50.262917,-47.150126,-12.387821,-8.684876,-3.142656,-2.323954,-0.887358,-0.884577,-0.728997,-0.677498,-0.530516,-0.501627,-0.369937,-0.33149,-0.302043,-0.264775,-0.170584,-0.017397,-0.015174
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,Logistic,TSF,MLP,BayesNet,C45,NB,RandF,SVML,SVMQ,NN_CID,NN,DD_DTW,DTD_C,LearnShapelets,FastShapelets,BOP,SAXVSM,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-368856.001518,-46977.318194,-32472.066094,-11772.809827,-9691.542832,-9279.429162,-1758.766654,-1611.741435,-1453.705215,-806.536533,-413.193804,-341.578536,-0.288903,-0.211527,-0.16853,-0.115708,-0.097053,-0.063012,-0.041295,-0.032901,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,BayesNet,NN,BOP,SAXVSM,BOSS,TWE,SVML,SVMQ,RandF,MSM,DTW,NN_CID,LCSS,WDTW,ERP,DD_DTW,Logistic,MLP,DTD_C,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,71.338568,130.54808,130.54808,154.100416,162.944632,162.944632,185.000416,188.74552,188.985832,228.41808,232.93392,247.58452,264.394736,266.97764,269.590792,269.590792,337.583624,519.844,525.04168,565.368928,565.368928,796.431496
AvgTESTMaxMemoryRankOverDsets:,2.5,2.5,2.5,2.5,5.0,6.5,6.5,8.0,9.5,9.5,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.5,19.5,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,Logistic,RandF,NN_CID,ERP,BayesNet,SVML,SAXVSM,SVMQ,NN,BOP,MLP,NB,LearnShapelets,FastShapelets,TSF,LCSS,DTW,BOSS,WDTW,MSM,RotF,TWE,ShapeletTransformClassifier,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.015174,0.017397,0.170584,0.264775,0.302043,0.33149,0.369937,0.501627,0.530516,0.677498,0.728997,0.884577,0.887358,2.323954,3.142656,8.684876,12.387821,47.150126,50.262917,91.395341,122.712759,130.771772,178.446737,209.187634,407.658679,2472.261394
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,SAXVSM,BOP,FastShapelets,LearnShapelets,DTD_C,DD_DTW,NN,NN_CID,SVMQ,SVML,RandF,NB,C45,BayesNet,MLP,TSF,Logistic,RotF,BOSS,ShapeletTransformClassifier
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.032901,0.041295,0.063012,0.097053,0.115708,0.16853,0.211527,0.288903,341.578536,413.193804,806.536533,1453.705215,1611.741435,1758.766654,9279.429162,9691.542832,11772.809827,32472.066094,46977.318194,368856.001518
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

