ACC:TESTACC,BOSS,ShapeletTransformClassifier,LearnShapelets,SAXVSM,FastShapelets,NN_CID,BOP,MSM,DTD_C,DD_DTW,SVMQ,DTW,NN,ERP,TSF,WDTW,TWE,C45,RotF,RandF,LCSS,BayesNet,NB,SVML,MLP,Logistic
AvgTESTACCOverDsets:,0.8744939271255061,0.854251012145749,0.805668016194332,0.7854251012145749,0.7692307692307693,0.7165991902834008,0.7125506072874493,0.6882591093117408,0.6882591093117408,0.6477732793522267,0.6275303643724697,0.611336032388664,0.6072874493927125,0.6072874493927125,0.582995951417004,0.5789473684210527,0.5789473684210527,0.5546558704453441,0.5546558704453441,0.5546558704453441,0.4939271255060729,0.4898785425101215,0.4777327935222672,0.47368421052631576,0.46963562753036436,0.4493927125506073
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.5,8.5,10.0,11.0,12.0,13.5,13.5,15.0,16.5,16.5,19.0,19.0,19.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,WDTW,RotF,DTW,LCSS,BOSS,ShapeletTransformClassifier,TSF,BOP,FastShapelets,NN,ERP,MLP,SAXVSM,NN_CID,LearnShapelets,NB,SVMQ,BayesNet,SVML,Logistic,RandF,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-10709.334832,-2253.114143,-842.344331,-822.774992,-363.120845,-163.154913,-116.34843,-85.788504,-48.089036,-14.355611,-9.598035,-3.87297,-3.253806,-1.479296,-1.227441,-1.1745510000000001,-1.136129,-0.692209,-0.460046,-0.448694,-0.271445,-0.1914,-0.161862,-0.129461,-0.117133,-0.005277
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,BOSS,ShapeletTransformClassifier,RotF,MLP,TSF,RandF,SVML,SVMQ,Logistic,C45,BayesNet,NB,FastShapelets,SAXVSM,BOP,NN,DD_DTW,NN_CID,DTD_C,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-715374.289535,-688935.176106,-119949.659315,-31633.768878,-29514.73863,-2715.068576,-1519.475758,-1514.989511,-1367.092773,-1167.073997,-827.594104,-568.359418,-2.072332,-1.097981,-1.059781,-0.360101,-0.272555,-0.266756,-0.216548,-0.097144,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,DTW,BayesNet,Logistic,C45,NN,WDTW,SVML,SVMQ,RandF,TWE,MSM,MLP,ShapeletTransformClassifier,TSF,LearnShapelets,LCSS,NN_CID,DTD_C,DD_DTW,RotF,ERP,BOSS,FastShapelets,BOP,SAXVSM
AvgTESTMaxMemoryOverDsets:,0.0,0.0,32.146152,35.10252,35.10252,49.848496,61.506648,73.313576,73.313576,73.313576,196.996768,209.730968,218.592824,221.665368,248.152656,433.32552,497.445344,516.709592,568.853768,570.032984,570.665424,570.800424,766.003912,1436.590968,1436.590968,1436.590968
AvgTESTMaxMemoryRankOverDsets:,1.5,1.5,3.0,4.5,4.5,6.0,7.0,9.0,9.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,25.0,25.0,25.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
