ACC:TESTACC,ShapeletTransformClassifier,BOSS,LearnShapelets,FastShapelets,SAXVSM,MSM,DD_DTW,NN_CID,DTD_C,BOP,TSF,WDTW,ERP,RotF,DTW,NN,NB,SVMQ,RandF,TWE,MLP,Logistic,LCSS,SVML,BayesNet,C45
AvgTESTACCOverDsets:,0.9192825112107623,0.905829596412556,0.852017937219731,0.7982062780269058,0.7623318385650224,0.7309417040358744,0.7219730941704036,0.7085201793721974,0.7040358744394619,0.695067264573991,0.6681614349775785,0.6457399103139013,0.6053811659192825,0.5919282511210763,0.5919282511210763,0.5874439461883408,0.5515695067264574,0.5515695067264574,0.5515695067264574,0.5291479820627802,0.515695067264574,0.5022421524663677,0.5022421524663677,0.49327354260089684,0.48878923766816146,0.45739910313901344
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.5,14.5,16.0,18.0,18.0,18.0,20.0,21.0,22.5,22.5,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,MSM,TWE,ShapeletTransformClassifier,WDTW,RotF,DTW,BOSS,LCSS,TSF,FastShapelets,SAXVSM,BOP,MLP,ERP,NN,NN_CID,NB,LearnShapelets,RandF,BayesNet,SVMQ,SVML,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-20650.953525,-2969.908482,-1277.389063,-1186.81726,-624.205627,-575.83095,-191.907686,-144.069674,-140.572551,-81.466571,-12.958237,-3.616302,-3.233804,-3.181554,-2.213769,-1.82435,-1.792047,-0.917294,-0.71802,-0.653255,-0.422359,-0.348722,-0.211456,-0.159983,-0.142691,-0.017716
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

