ACC:TESTACC,FastShapelets,ShapeletTransformClassifier,BOSS,BOP,TWE,MSM,WDTW,NN_CID,DD_DTW,TSF,SVMQ,RotF,MLP,RandF,NN,SVML,DTW,ERP,DTD_C,SAXVSM,BayesNet,Logistic,LearnShapelets,C45,NB,LCSS
AvgTESTACCOverDsets:,1.0,1.0,1.0,0.9833333333333333,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9,0.9,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8666666666666667,0.85,0.85,0.7666666666666667,0.7166666666666667,0.4166666666666667
AvgTESTACCRankOverDsets:,2.0,2.0,2.0,4.0,5.5,5.5,8.5,8.5,8.5,8.5,12.0,12.0,12.0,14.5,14.5,18.0,18.0,18.0,18.0,18.0,21.0,22.5,22.5,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,MSM,RotF,BOSS,WDTW,DTW,TSF,LCSS,FastShapelets,ERP,NN_CID,NN,RandF,BayesNet,NB,BOP,MLP,SVMQ,LearnShapelets,SAXVSM,Logistic,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-344.357188,-165.919525,-80.112687,-38.973943,-36.890496,-29.344646,-14.675873,-7.083646,-5.069009,-2.504926,-1.978606,-1.429666,-0.353523,-0.286675,-0.21124,-0.176941,-0.170344,-0.162398,-0.150402,-0.111208,-0.098555,-0.092209,-0.08046,-0.04654,-0.044388,-0.003611
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,BOSS,Logistic,BayesNet,C45,NB,TSF,MLP,RandF,SVMQ,SVML,DD_DTW,NN,NN_CID,DTD_C,SAXVSM,FastShapelets,BOP,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-353783.199231,-7784.529556,-6021.807767,-4061.253903,-3973.483365,-3945.875166,-3817.560901,-3504.669006,-1024.522249,-709.680935,-152.671101,-111.06054,-0.765748,-0.247298,-0.156568,-0.108782,-0.014493,-0.004409,-0.004212,-0.00302,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
