ACC:TESTACC,ShapeletTransformClassifier,TSF,RandF,SVML,RotF,FastShapelets,SAXVSM,BOSS,BayesNet,BOP,NB,DTW,ERP,SVMQ,NN,NN_CID,DD_DTW,DTD_C,MSM,C45,WDTW,LearnShapelets,Logistic,TWE,MLP,LCSS
AvgTESTACCOverDsets:,0.9420289855072463,0.9130434782608695,0.9057971014492754,0.8985507246376812,0.8985507246376812,0.8985507246376812,0.8840579710144928,0.8840579710144928,0.8768115942028986,0.8768115942028986,0.8695652173913043,0.8623188405797102,0.8623188405797102,0.855072463768116,0.855072463768116,0.855072463768116,0.855072463768116,0.8478260869565217,0.8405797101449275,0.8333333333333334,0.8333333333333334,0.7681159420289855,0.7608695652173914,0.7608695652173914,0.6376811594202898,0.6304347826086957
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,5.0,5.0,5.0,7.5,7.5,9.5,9.5,11.0,12.5,12.5,15.5,15.5,15.5,15.5,18.0,19.0,20.5,20.5,22.0,23.5,23.5,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,WDTW,RotF,DTW,LCSS,ShapeletTransformClassifier,BOSS,TSF,MLP,SAXVSM,BOP,FastShapelets,LearnShapelets,ERP,NB,NN,NN_CID,BayesNet,SVMQ,SVML,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-167548.591287,-46101.611346,-13227.283494,-8003.834916,-3324.996776,-2681.584815,-1416.119032,-712.732485,-451.363907,-136.981872,-81.223735,-43.10709,-24.629213,-8.639974,-6.778061,-6.310087,-2.490468,-2.252111,-2.239415,-2.155412,-0.594936,-0.222253,-0.166296,-0.150321,-0.052825,-0.0036
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
