ACC:TESTACC,RotF,ShapeletTransformClassifier,TSF,NN_CID,NB,NN,DTW,ERP,SVMQ,MLP,DTD_C,WDTW,RandF,MSM,SVML,LearnShapelets,BOP,BOSS,DD_DTW,SAXVSM,BayesNet,FastShapelets,Logistic,C45,TWE,LCSS
AvgTESTACCOverDsets:,0.5319148936170213,0.5319148936170213,0.48936170212765956,0.4787234042553192,0.46808510638297873,0.46808510638297873,0.46808510638297873,0.46808510638297873,0.4574468085106383,0.4574468085106383,0.4574468085106383,0.44680851063829785,0.43617021276595747,0.43617021276595747,0.425531914893617,0.425531914893617,0.4148936170212766,0.40425531914893614,0.39361702127659576,0.3829787234042553,0.3617021276595745,0.3617021276595745,0.35106382978723405,0.3404255319148936,0.2978723404255319,0.20212765957446807
AvgTESTACCRankOverDsets:,1.5,1.5,3.0,4.0,6.5,6.5,6.5,6.5,10.0,10.0,10.0,12.0,13.5,13.5,15.5,15.5,17.0,18.0,19.0,20.0,21.5,21.5,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,RotF,WDTW,DTW,ShapeletTransformClassifier,LCSS,TSF,MLP,LearnShapelets,BOSS,FastShapelets,NN,BOP,NB,SAXVSM,ERP,BayesNet,NN_CID,SVMQ,RandF,SVML,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-17415.682177,-4077.074609,-1716.347431,-1088.257811,-619.292503,-430.700997,-159.970864,-124.572824,-90.879803,-20.10381,-18.088537,-6.490081,-4.81719,-4.691863,-3.56097,-3.271808,-2.149875,-2.103584,-1.055647,-0.820211,-0.762589,-0.575813,-0.144824,-0.141735,-0.041095,-0.013226
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
