ACC:TESTACC,BOSS,ShapeletTransformClassifier,MSM,WDTW,BOP,TSF,RotF,RandF,NN_CID,SAXVSM,SVMQ,DD_DTW,DTW,ERP,NN,DTD_C,FastShapelets,TWE,SVML,LearnShapelets,Logistic,C45,NB,BayesNet,MLP,LCSS
AvgTESTACCOverDsets:,0.5378787878787878,0.5227272727272727,0.5075757575757576,0.4166666666666667,0.4166666666666667,0.38636363636363635,0.3787878787878788,0.3787878787878788,0.3787878787878788,0.3712121212121212,0.3484848484848485,0.3484848484848485,0.3409090909090909,0.3409090909090909,0.32575757575757575,0.32575757575757575,0.30303030303030304,0.2803030303030303,0.26515151515151514,0.26515151515151514,0.21212121212121213,0.21212121212121213,0.20454545454545456,0.18181818181818182,0.18181818181818182,0.16666666666666666
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.5,4.5,6.0,8.0,8.0,8.0,10.0,11.5,11.5,13.5,13.5,15.5,15.5,17.0,18.0,19.5,19.5,21.5,21.5,23.0,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,RotF,WDTW,DTW,LCSS,ShapeletTransformClassifier,TSF,BOSS,MLP,LearnShapelets,FastShapelets,SAXVSM,BOP,NB,ERP,SVMQ,NN_CID,BayesNet,NN,RandF,SVML,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-75428.901644,-18947.536607,-6220.064771,-5208.782228,-1781.567958,-1628.16828,-993.558427,-377.124076,-297.097197,-82.00318,-74.886132,-26.72033,-25.822596,-7.458279,-6.582443,-6.081312,-2.898466,-2.137786,-2.046635,-1.7882850000000001,-0.896261,-0.757439,-0.203298,-0.100954,-0.069316,-0.021167
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

