ACC:TESTACC,NB,RandF,ShapeletTransformClassifier,BayesNet,SVML,RotF,MLP,TSF,C45,SVMQ,DTW,MSM,ERP,NN,FastShapelets,NN_CID,BOP,SAXVSM,BOSS,WDTW,LearnShapelets,Logistic,DTD_C,DD_DTW,TWE,LCSS
AvgTESTACCOverDsets:,0.5909090909090909,0.5818181818181818,0.5636363636363636,0.5454545454545454,0.5454545454545454,0.5363636363636364,0.5272727272727272,0.5272727272727272,0.5181818181818182,0.5181818181818182,0.509090909090909,0.509090909090909,0.509090909090909,0.5,0.4818181818181818,0.4727272727272727,0.45454545454545453,0.44545454545454544,0.43636363636363634,0.41818181818181815,0.4,0.38181818181818183,0.38181818181818183,0.2545454545454545,0.11818181818181818,0.07272727272727272
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.5,4.5,6.0,7.5,7.5,9.5,9.5,12.0,12.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.5,22.5,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,ShapeletTransformClassifier,TWE,MSM,RotF,WDTW,DTW,BOSS,LCSS,FastShapelets,TSF,SVMQ,SVML,LearnShapelets,NB,BayesNet,ERP,MLP,NN_CID,SAXVSM,BOP,NN,RandF,C45,Logistic
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-1493.099817,-210.591582,-169.152562,-87.0451,-73.404475,-64.209109,-39.395166,-22.012978,-5.901834,-5.573466,-4.522031,-3.763032,-3.142977,-2.070857,-1.900112,-1.55155,-0.762891,-0.227524,-0.217353,-0.194486,-0.187816,-0.173978,-0.131758,-0.123506,-0.023015,-0.018796
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,TSF,Logistic,MLP,RandF,SVML,C45,SVMQ,BayesNet,NB,NN,LearnShapelets,DTD_C,NN_CID,SAXVSM,DD_DTW,FastShapelets,BOP,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-380323.243539,-36115.953986,-31213.270458,-15826.850665,-11060.513448,-3772.61517,-2443.892059,-1259.015962,-877.599199,-855.183524,-817.073012,-607.137146,-0.198514,-0.157829,-0.155136,-0.139622,-0.131422,-0.129473,-0.069608,-0.037116,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,BayesNet,ERP,DD_DTW,BOP,SAXVSM,BOSS,MSM,NN_CID,LCSS,SVML,SVMQ,NN,DTW,WDTW,TWE,Logistic,RandF,MLP,DTD_C,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,66.051296,75.382304,75.382304,95.444824,123.727648,126.138416,146.942448,146.942448,160.717392,168.29916,175.783288,200.23824,206.579408,206.579408,206.579408,213.695136,306.111472,312.2514,351.906936,351.906936,581.965832
AvgTESTMaxMemoryRankOverDsets:,3.0,3.0,3.0,3.0,3.0,6.0,7.5,7.5,9.0,10.0,11.0,12.5,12.5,14.0,15.0,16.0,17.0,19.0,19.0,19.0,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,Logistic,C45,RandF,NN,BOP,SAXVSM,NN_CID,MLP,ERP,BayesNet,NB,LearnShapelets,SVML,SVMQ,TSF,FastShapelets,LCSS,BOSS,DTW,WDTW,RotF,MSM,TWE,ShapeletTransformClassifier,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.018796,0.023015,0.123506,0.131758,0.173978,0.187816,0.194486,0.217353,0.227524,0.762891,1.55155,1.900112,2.070857,3.142977,3.763032,4.522031,5.573466,5.901834,22.012978,39.395166,64.209109,73.404475,87.0451,169.152562,210.591582,1493.099817
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,BOP,FastShapelets,DD_DTW,SAXVSM,NN_CID,DTD_C,LearnShapelets,NN,NB,BayesNet,SVMQ,C45,SVML,RandF,MLP,Logistic,TSF,RotF,BOSS,ShapeletTransformClassifier
