ACC:TESTACC,Logistic,ShapeletTransformClassifier,C45,SVML,RotF,RandF,MLP,NN,DTW,NN_CID,ERP,DD_DTW,DTD_C,TSF,SVMQ,WDTW,MSM,TWE,FastShapelets,BOSS,BayesNet,BOP,NB,SAXVSM,LearnShapelets,LCSS
AvgTESTACCOverDsets:,0.9818181818181818,0.9727272727272728,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9363636363636364,0.9272727272727272,0.9181818181818182,0.9090909090909091,0.9090909090909091,0.8727272727272727,0.8363636363636363,0.7454545454545455,0.2636363636363636
AvgTESTACCRankOverDsets:,1.0,2.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,16.0,16.0,16.0,18.0,19.0,20.0,21.5,21.5,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,ShapeletTransformClassifier,DTD_C,DD_DTW,RotF,TWE,FastShapelets,WDTW,MSM,TSF,LCSS,DTW,BOSS,ERP,RandF,BOP,NN_CID,NN,NB,BayesNet,SAXVSM,Logistic,LearnShapelets,SVMQ,SVML,MLP,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-61.195801,-29.707741,-16.570368,-5.39732,-3.716892,-3.042363,-1.961459,-1.504378,-0.882115,-0.78556,-0.535369,-0.211575,-0.211183,-0.169686,-0.144475,-0.079996,-0.040856,-0.033066,-0.031194,-0.018259,-0.014225,-0.013161,-0.010727,-0.009782,-0.008032,-0.003125
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BayesNet,Logistic,C45,NB,RotF,TSF,BOSS,RandF,MLP,SVMQ,SVML,NN_CID,DD_DTW,NN,DTD_C,SAXVSM,FastShapelets,BOP,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-17823.315123,-3956.098461,-3938.846756,-3864.216611,-3805.588557,-2739.524693,-2599.529011,-768.528876,-682.860537,-217.373912,-131.658244,-44.436016,-0.730566,-0.60395,-0.330922,-0.130799,-0.002405,-6.72E-4,-5.08E-4,-4.35E-4,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,Logistic,C45,NB,BayesNet,LCSS,ERP,NN,MLP,DTW,WDTW,TWE,BOP,LearnShapelets,BOSS,SAXVSM,SVML,SVMQ,RandF,MSM,NN_CID,RotF,DD_DTW,DTD_C,TSF,FastShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,0.0,19.931488,21.51628,25.233192,25.233192,26.926144,30.10984,30.147216,31.8084,32.35644,32.622856,32.622856,32.622976,36.068208,37.85676,49.61528,49.918208,50.281504,53.50256,53.50256,336.265536
AvgTESTMaxMemoryRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.5,9.5,11.0,12.0,13.0,14.0,15.0,16.5,16.5,18.0,19.0,20.0,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,MLP,SVML,SVMQ,LearnShapelets,Logistic,SAXVSM,BayesNet,NB,NN,NN_CID,BOP,RandF,ERP,BOSS,DTW,LCSS,TSF,MSM,WDTW,FastShapelets,TWE,RotF,DD_DTW,DTD_C,ShapeletTransformClassifier
AvgTESTAvgPredTimesOverDsets:,0.003125,0.008032,0.009782,0.010727,0.013161,0.014225,0.018259,0.031194,0.033066,0.040856,0.079996,0.144475,0.169686,0.211183,0.211575,0.535369,0.78556,0.882115,1.504378,1.961459,3.042363,3.716892,5.39732,16.570368,29.707741,61.195801
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,LearnShapelets,BOP,FastShapelets,SAXVSM,DTD_C,NN,DD_DTW,NN_CID,SVML,SVMQ,MLP,RandF,BOSS,TSF,RotF,NB,C45,Logistic,BayesNet,ShapeletTransformClassifier
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.35E-4,5.08E-4,6.72E-4,0.002405,0.130799,0.330922,0.60395,0.730566,44.436016,131.658244,217.373912,682.860537,768.528876,2599.529011,2739.524693,3805.588557,3864.216611,3938.846756,3956.098461,17823.315123
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
