ACC:TESTACC,RotF,MSM,ShapeletTransformClassifier,RandF,TSF,LearnShapelets,Logistic,SVML,WDTW,DTD_C,BOSS,NN_CID,SVMQ,NN,DTW,ERP,NB,MLP,DD_DTW,BayesNet,SAXVSM,TWE,BOP,C45,FastShapelets,LCSS
AvgTESTACCOverDsets:,0.75,0.7272727272727273,0.7272727272727273,0.7045454545454546,0.7045454545454546,0.6818181818181818,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.6363636363636364,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5681818181818182,0.5454545454545454,0.4772727272727273,0.45454545454545453,0.4318181818181818,0.1590909090909091,0.045454545454545456
AvgTESTACCRankOverDsets:,1.0,2.5,2.5,4.5,4.5,6.0,9.0,9.0,9.0,9.0,9.0,12.0,14.5,14.5,14.5,14.5,18.0,18.0,18.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,RotF,ShapeletTransformClassifier,WDTW,DTW,TSF,LCSS,FastShapelets,BOSS,LearnShapelets,NB,ERP,SVMQ,SVML,NN,BayesNet,MLP,SAXVSM,RandF,BOP,NN_CID,C45,Logistic
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-2392.860696,-348.665934,-211.063064,-207.546152,-138.519036,-115.835964,-104.981649,-30.591773,-22.908288,-10.211308,-9.230958,-3.442726,-3.018794,-2.303512,-1.890358,-1.8465,-1.845604,-1.398372,-1.353925,-0.964675,-0.738769,-0.609244,-0.295956,-0.281923,-0.030316,-0.02938
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
