ACC:TESTACC,RotF,FastShapelets,ShapeletTransformClassifier,MLP,TSF,SVMQ,SVML,RandF,NN_CID,DD_DTW,NB,BayesNet,DTW,WDTW,ERP,BOSS,MSM,DTD_C,NN,LearnShapelets,TWE,BOP,SAXVSM,C45,Logistic,LCSS
AvgTESTACCOverDsets:,1.0,1.0,1.0,0.9916666666666667,0.9916666666666667,0.9833333333333333,0.975,0.975,0.975,0.975,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9583333333333334,0.9583333333333334,0.95,0.9416666666666667,0.9333333333333333,0.9,0.8916666666666667,0.8333333333333334,0.775,0.125
AvgTESTACCRankOverDsets:,2.0,2.0,2.0,4.5,4.5,6.0,8.5,8.5,8.5,8.5,13.5,13.5,13.5,13.5,13.5,13.5,17.5,17.5,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,WDTW,RotF,DTW,ShapeletTransformClassifier,LCSS,BOSS,TSF,MLP,LearnShapelets,NB,FastShapelets,BOP,SAXVSM,SVMQ,BayesNet,NN,ERP,NN_CID,SVML,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-45720.095285,-7956.446312,-2732.646443,-1458.75201,-823.787872,-541.44787,-303.888591,-207.597231,-136.522934,-112.833851,-72.775839,-20.828803,-13.831971,-10.380455,-4.25496,-3.391655,-3.048771,-2.73545,-1.8589259999999999,-1.694777,-1.564999,-0.95647,-0.808319,-0.227767,-0.076371,-0.02462
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,BOSS,ShapeletTransformClassifier,RotF,Logistic,MLP,TSF,RandF,SVML,BayesNet,C45,SVMQ,NB,FastShapelets,BOP,LearnShapelets,SAXVSM,NN,NN_CID,DD_DTW,DTD_C,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-1074603.978424,-389431.982487,-210202.104426,-167298.304901,-138683.237749,-26331.950373,-3899.784585,-2595.237677,-2358.957062,-1659.11651,-887.566269,-676.772857,-3.520835,-1.198894,-1.112191,-0.996394,-0.866466,-0.380273,-0.350457,-0.314181,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
