ACC:TESTACC,NB,BayesNet,RotF,RandF,MLP,NN,WDTW,TWE,MSM,NN_CID,DD_DTW,ShapeletTransformClassifier,BOP,SAXVSM,BOSS,Logistic,DTW,ERP,DTD_C,TSF,FastShapelets,SVML,SVMQ,C45,LearnShapelets,LCSS
AvgTESTACCOverDsets:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9166666666666666,0.8888888888888888,0.8333333333333334,0.6111111111111112,0.3333333333333333
AvgTESTACCRankOverDsets:,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,18.5,18.5,18.5,18.5,18.5,18.5,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,RotF,ShapeletTransformClassifier,WDTW,BOSS,LCSS,TSF,DTW,FastShapelets,MLP,ERP,NB,LearnShapelets,NN_CID,NN,BayesNet,SVML,SVMQ,SAXVSM,BOP,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-2858.181266,-618.237269,-368.224283,-204.213344,-198.05827,-144.187419,-123.061026,-55.572995,-28.267965,-27.413596,-24.764757,-3.073098,-1.8814549999999999,-1.863063,-1.777334,-1.374802,-1.304725,-1.0461,-1.035666,-0.864719,-0.859207,-0.765057,-0.648952,-0.36141,-0.13768,-0.010507
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,MLP,TSF,Logistic,BayesNet,C45,NB,RandF,SVML,SVMQ,NN,NN_CID,DD_DTW,DTD_C,FastShapelets,BOP,LearnShapelets,SAXVSM,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-353771.316644,-40162.768373,-37043.734164,-13023.934843,-5868.633408,-4977.697764,-1906.72545,-1760.365777,-1574.651067,-1056.767336,-471.093121,-267.887224,-0.499124,-0.36985,-0.309836,-0.256572,-0.052387,-0.032704,-0.028658,-0.025602,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,NN,BayesNet,WDTW,DTW,TWE,SVMQ,RandF,Logistic,SVML,BOP,SAXVSM,MSM,BOSS,MLP,LCSS,NN_CID,ERP,DD_DTW,DTD_C,TSF,RotF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,16.317152,31.499,31.91472,34.144472,45.461736,46.637872,50.205664,50.205664,62.671272,62.671272,67.664952,111.237304,134.407976,141.26012,142.154976,160.705688,164.967408,176.822728,320.100576,513.406032,522.793864,522.793864,522.793864
AvgTESTMaxMemoryRankOverDsets:,2.0,2.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.5,10.5,12.5,12.5,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,25.0,25.0,25.0
