ACC:TESTACC,RotF,WDTW,DTD_C,RandF,DD_DTW,TSF,MSM,ShapeletTransformClassifier,BOSS,MLP,DTW,NN_CID,NN,ERP,C45,NB,LearnShapelets,SVMQ,FastShapelets,BOP,TWE,SVML,LCSS,SAXVSM,Logistic,BayesNet
AvgTESTACCOverDsets:,0.6896551724137931,0.6810344827586207,0.6724137931034483,0.6637931034482759,0.6637931034482759,0.646551724137931,0.6379310344827587,0.6120689655172413,0.6120689655172413,0.5948275862068966,0.5948275862068966,0.5775862068965517,0.5689655172413793,0.5689655172413793,0.5603448275862069,0.5517241379310345,0.5517241379310345,0.5431034482758621,0.5431034482758621,0.5431034482758621,0.5344827586206896,0.5172413793103449,0.5172413793103449,0.49137931034482757,0.3620689655172414,0.33620689655172414
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.5,4.5,6.0,7.0,8.5,8.5,10.5,10.5,12.0,13.5,13.5,15.0,16.5,16.5,19.0,19.0,19.0,21.0,22.5,22.5,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,RotF,MSM,FastShapelets,WDTW,DTW,TSF,LCSS,BOSS,LearnShapelets,NB,NN,SVML,SVMQ,BayesNet,NN_CID,SAXVSM,RandF,ERP,BOP,MLP,C45,Logistic
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-237.122409,-184.935025,-34.127898,-25.450458,-18.928107,-6.927535,-5.51093,-3.517278,-1.92645,-1.441448,-1.153077,-0.973653,-0.522593,-0.394252,-0.33603,-0.308691,-0.302361,-0.278415,-0.274667,-0.258795,-0.151403,-0.149864,-0.065868,-0.048226,-0.02175,-0.012199
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,TSF,BOSS,Logistic,BayesNet,C45,NB,RandF,MLP,SVMQ,SVML,NN,NN_CID,DD_DTW,DTD_C,SAXVSM,LearnShapelets,FastShapelets,BOP,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-402923.699886,-14006.857779,-8467.566253,-5772.346037,-3522.862089,-1936.14218,-1766.634408,-1650.427852,-1353.054496,-1239.177763,-525.927117,-385.030978,-0.199886,-0.114684,-0.106625,-0.105702,-0.071014,-0.033725,-0.011464,-0.008657,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,NN,TWE,ERP,BayesNet,MLP,WDTW,RandF,DTW,BOP,MSM,NN_CID,BOSS,LCSS,SAXVSM,DD_DTW,SVML,SVMQ,DTD_C,Logistic,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,13.558752,25.942704,36.052528,37.15468,40.099264,43.834824,44.121064,46.512832,47.168392,47.737008,49.58372,53.343896,54.203464,54.203464,55.346088,59.469464,144.358472,144.358472,156.537288,156.537288,770.105352
AvgTESTMaxMemoryRankOverDsets:,3.0,3.0,3.0,3.0,3.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.5,18.5,20.0,21.0,22.5,22.5,24.5,24.5,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,Logistic,C45,MLP,BOP,ERP,RandF,SAXVSM,NN_CID,BayesNet,SVMQ,SVML,NN,NB,LearnShapelets,BOSS,LCSS,TSF,DTW,WDTW,FastShapelets,MSM,RotF,TWE,DD_DTW,ShapeletTransformClassifier,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.012199,0.02175,0.048226,0.065868,0.149864,0.151403,0.258795,0.274667,0.278415,0.302361,0.308691,0.33603,0.394252,0.522593,0.973653,1.153077,1.441448,1.92645,3.517278,5.51093,6.927535,18.928107,25.450458,34.127898,184.935025,237.122409
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,BOP,FastShapelets,LearnShapelets,SAXVSM,DTD_C,DD_DTW,NN_CID,NN,SVML,SVMQ,MLP,RandF,NB,C45,BayesNet,Logistic,BOSS,TSF,RotF,ShapeletTransformClassifier
