ACC:TESTACC,RotF,NN,SVMQ,DTW,ERP,DTD_C,MSM,BayesNet,WDTW,NN_CID,RandF,TWE,TSF,MLP,DD_DTW,BOP,BOSS,FastShapelets,SVML,ShapeletTransformClassifier,NB,SAXVSM,Logistic,LCSS,C45,LearnShapelets
AvgTESTACCOverDsets:,0.8111111111111111,0.8,0.7888888888888889,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7666666666666667,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7222222222222222,0.7222222222222222,0.7111111111111111,0.7111111111111111,0.7,0.6888888888888889,0.6888888888888889,0.6333333333333333,0.6333333333333333,0.6,0.6,0.5888888888888889,0.35555555555555557
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,5.0,5.0,5.0,7.0,9.0,9.0,9.0,12.0,12.0,12.0,14.5,14.5,16.5,16.5,18.0,19.5,19.5,21.5,21.5,23.5,23.5,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,ShapeletTransformClassifier,DTD_C,TWE,DD_DTW,RotF,MSM,WDTW,FastShapelets,BOSS,TSF,DTW,LCSS,NN_CID,ERP,RandF,NN,BOP,NB,BayesNet,LearnShapelets,MLP,SVMQ,SVML,SAXVSM,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-458.313158,-369.03582,-119.73744,-103.448734,-36.996681,-24.279762,-17.146197,-4.811193,-4.394422,-3.278115,-3.082199,-2.199646,-0.648714,-0.568731,-0.554688,-0.489257,-0.453164,-0.133416,-0.131462,-0.098202,-0.088456,-0.074235,-0.052929,-0.043864,-0.040877,-0.006797
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
