ACC:TESTACC,MSM,BOP,BOSS,SVMQ,RotF,NN,TSF,ShapeletTransformClassifier,SAXVSM,Logistic,C45,RandF,MLP,BayesNet,NB,DTW,ERP,SVML,DTD_C,DD_DTW,WDTW,NN_CID,TWE,FastShapelets,LearnShapelets,LCSS
AvgTESTACCOverDsets:,0.953125,0.953125,0.953125,0.9453125,0.9375,0.9375,0.9375,0.9296875,0.9296875,0.921875,0.921875,0.921875,0.921875,0.9140625,0.90625,0.90625,0.90625,0.8984375,0.8984375,0.890625,0.8671875,0.8671875,0.859375,0.8515625,0.84375,0.203125
AvgTESTACCRankOverDsets:,2.0,2.0,2.0,4.0,6.0,6.0,6.0,8.5,8.5,11.5,11.5,11.5,11.5,14.0,16.0,16.0,16.0,18.5,18.5,20.0,21.5,21.5,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,WDTW,TWE,RotF,MSM,BOSS,DTW,LCSS,FastShapelets,TSF,NN,NN_CID,RandF,ERP,BOP,SVMQ,NB,BayesNet,SAXVSM,LearnShapelets,Logistic,MLP,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-630.276326,-469.917749,-134.250436,-78.449209,-52.260479,-38.003266,-30.700615,-18.785928,-5.102847,-3.128496,-2.8577,-2.463328,-0.917846,-0.694268,-0.580962,-0.558088,-0.308706,-0.191269,-0.177978,-0.127074,-0.125883,-0.103832,-0.080574,-0.078772,-0.034686,-0.007067
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,BOSS,TSF,MLP,RandF,Logistic,C45,SVML,SVMQ,BayesNet,NB,NN,NN_CID,SAXVSM,DD_DTW,DTD_C,BOP,FastShapelets,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-480962.538123,-25213.334693,-13697.966327,-8186.59031,-5300.162382,-2533.740522,-1848.553962,-1444.569423,-305.262293,-248.980578,-153.026008,-110.969932,-0.500593,-0.444425,-0.373076,-0.29641,-0.284512,-0.029589,-0.011641,-0.00565,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,BayesNet,NN,LCSS,DD_DTW,LearnShapelets,Logistic,NB,SVML,SVMQ,RandF,NN_CID,DTD_C,ERP,TSF,FastShapelets,BOP,MLP,DTW,WDTW,TWE,RotF,MSM,SAXVSM,BOSS,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,0.0,15.274616,15.748192,17.805296,17.805296,23.841616,25.974656,26.060008,26.430656,28.461224,30.80036,34.948128,41.515008,47.43576,54.137576,107.765392,112.0432,114.466848,706.929864,791.1408,1057.265552
AvgTESTMaxMemoryRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.5,9.5,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
