ACC:TESTACC,ShapeletTransformClassifier,RotF,TSF,RandF,Logistic,BOSS,MLP,NN_CID,SVML,DTD_C,DTW,ERP,NB,MSM,DD_DTW,SVMQ,WDTW,BayesNet,NN,LearnShapelets,FastShapelets,SAXVSM,TWE,BOP,C45,LCSS
AvgTESTACCOverDsets:,0.8736842105263158,0.8052631578947368,0.7973684210526316,0.7894736842105263,0.7684210526315789,0.7684210526315789,0.7631578947368421,0.7605263157894737,0.7552631578947369,0.7552631578947369,0.75,0.7473684210526316,0.7394736842105263,0.7368421052631579,0.7342105263157894,0.7315789473684211,0.7105263157894737,0.6973684210526315,0.6868421052631579,0.6710526315789473,0.5973684210526315,0.5842105263157895,0.5710526315789474,0.55,0.5236842105263158,0.02368421052631579
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.5,5.5,7.0,8.0,9.5,9.5,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,WDTW,DTW,ShapeletTransformClassifier,RotF,LCSS,BOSS,LearnShapelets,SVMQ,SVML,TSF,NB,FastShapelets,BayesNet,BOP,MLP,SAXVSM,NN_CID,ERP,NN,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-35910.800987,-8968.706788,-3008.911231,-1473.784592,-599.534711,-340.828439,-256.028,-246.827089,-192.41438,-85.10261,-36.980387,-23.468594,-17.920358,-15.432352,-8.792615,-7.669354,-4.406031,-4.216163,-2.744923,-2.118687,-1.556092,-1.323987,-1.307242,-0.251988,-0.2095,-0.008511
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,Logistic,BOSS,ShapeletTransformClassifier,RotF,TSF,MLP,RandF,C45,SVML,BayesNet,SVMQ,NB,LearnShapelets,FastShapelets,SAXVSM,BOP,NN,NN_CID,DD_DTW,DTD_C,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-3031018.482412,-2193651.672529,-821251.486305,-677383.675759,-173405.948321,-172685.30191,-13695.057015,-8191.351986,-7451.200164,-5818.089707,-4749.036725,-637.643634,-34.872407,-6.298381,-2.390288,-2.006024,-0.428919,-0.359632,-0.314518,-0.283976,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,SAXVSM,BOSS,BOP,LearnShapelets,ShapeletTransformClassifier,BayesNet,C45,DD_DTW,SVML,SVMQ,LCSS,ERP,DTD_C,DTW,RandF,NN,TWE,WDTW,MSM,NN_CID,FastShapelets,RotF,MLP,Logistic,TSF
AvgTESTMaxMemoryOverDsets:,0.0,1374.657144,1374.657144,2111.705792,2502.18876,2502.18876,6747.176376,7642.261872,7649.302768,7726.340312,7726.340312,15234.208488,15237.86844,15238.861104,15288.126848,15311.12904,15320.189776,15486.019912,15493.354624,15809.587816,16057.478336,22960.97388,31352.350576,31352.350576,32166.690752,32166.690752
AvgTESTMaxMemoryRankOverDsets:,1.0,2.5,2.5,4.0,5.5,5.5,7.0,8.0,9.0,10.5,10.5,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.5,23.5,25.5,25.5
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,Logistic,RandF,NN,ERP,NN_CID,SAXVSM,MLP,BOP,BayesNet,FastShapelets,NB,TSF,SVML,SVMQ,LearnShapelets,BOSS,LCSS,RotF,ShapeletTransformClassifier,DTW,WDTW,MSM,TWE,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.008511,0.2095,0.251988,1.307242,1.323987,1.556092,2.118687,2.744923,4.216163,4.406031,7.669354,8.792615,15.432352,17.920358,23.468594,36.980387,85.10261,192.41438,246.827089,256.028,340.828439,599.534711,1473.784592,3008.911231,8968.706788,35910.800987
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,DTD_C,DD_DTW,NN_CID,NN,BOP,SAXVSM,FastShapelets,LearnShapelets,NB,SVMQ,BayesNet,SVML,C45,RandF,MLP,TSF,RotF,ShapeletTransformClassifier,BOSS,Logistic
