ACC:TESTACC,BOSS,ShapeletTransformClassifier,SAXVSM,LearnShapelets,MSM,BOP,FastShapelets,DD_DTW,WDTW,TWE,DTD_C,NN_CID,TSF,RotF,C45,RandF,NN,DTW,ERP,SVMQ,NB,MLP,SVML,BayesNet,Logistic,LCSS
AvgTESTACCOverDsets:,0.9555555555555556,0.9111111111111111,0.8,0.7222222222222222,0.7,0.6777777777777778,0.6444444444444445,0.5777777777777777,0.5444444444444444,0.5444444444444444,0.5,0.4888888888888889,0.4777777777777778,0.45555555555555555,0.4111111111111111,0.4111111111111111,0.4,0.4,0.4,0.36666666666666664,0.34444444444444444,0.32222222222222224,0.3,0.28888888888888886,0.23333333333333334,0.2
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.5,9.5,11.0,12.0,13.0,14.0,15.5,15.5,18.0,18.0,18.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,ShapeletTransformClassifier,MSM,RotF,WDTW,DTW,LCSS,BOSS,TSF,FastShapelets,LearnShapelets,NN,MLP,BOP,NB,SAXVSM,SVMQ,ERP,NN_CID,SVML,BayesNet,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-3017.970215,-452.238327,-185.431168,-184.528462,-162.886707,-108.970364,-82.710398,-51.353748,-24.528547,-8.147072,-5.939024,-4.511118,-1.816314,-0.765302,-0.76417,-0.714134,-0.570939,-0.529271,-0.43179,-0.421858,-0.254442,-0.246996,-0.233591,-0.208009,-0.016561,-0.010685
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,TSF,Logistic,MLP,BayesNet,C45,NB,RandF,SVML,SVMQ,NN_CID,DTD_C,NN,DD_DTW,SAXVSM,FastShapelets,BOP,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-367912.29229,-71682.47004,-43148.589275,-11977.065552,-8170.406312,-8077.166421,-2030.504931,-1978.827516,-1641.678386,-1488.741363,-629.003324,-456.771624,-0.247567,-0.247449,-0.225204,-0.20249,-0.151944,-0.143894,-0.092607,-0.08311,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,MSM,LCSS,DTD_C,C45,BayesNet,SAXVSM,BOSS,WDTW,BOP,NN,DTW,SVML,SVMQ,TWE,Logistic,RandF,MLP,NN_CID,ERP,DD_DTW,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,16.4758,20.672992,71.281704,71.281704,71.35352,72.603608,86.419032,88.365056,103.754728,103.754728,110.777456,158.210992,158.210992,158.210992,158.512848,184.728408,189.315528,487.358992,491.432272,542.603672,542.603672,672.272952
