ACC:TESTACC,RandF,RotF,TSF,NN_CID,ShapeletTransformClassifier,NN,DTW,TWE,MSM,ERP,DTD_C,DD_DTW,WDTW,SAXVSM,BayesNet,BOSS,MLP,SVMQ,FastShapelets,C45,Logistic,NB,LCSS,SVML,BOP,LearnShapelets
AvgTESTACCOverDsets:,0.7819548872180451,0.7669172932330827,0.7669172932330827,0.7443609022556391,0.7443609022556391,0.7368421052631579,0.7293233082706767,0.7293233082706767,0.7293233082706767,0.7293233082706767,0.7293233082706767,0.7218045112781954,0.7142857142857143,0.7142857142857143,0.706766917293233,0.706766917293233,0.6992481203007519,0.6917293233082706,0.6616541353383458,0.6240601503759399,0.6015037593984962,0.6015037593984962,0.5939849624060151,0.5864661654135338,0.5789473684210527,0.48120300751879697
AvgTESTACCRankOverDsets:,1.0,2.5,2.5,4.5,4.5,6.0,9.0,9.0,9.0,9.0,9.0,12.0,13.5,13.5,15.5,15.5,17.0,18.0,19.0,20.0,21.5,21.5,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,ShapeletTransformClassifier,DTD_C,DD_DTW,RotF,BOSS,TWE,MSM,FastShapelets,WDTW,DTW,TSF,LCSS,ERP,RandF,NB,NN_CID,NN,BayesNet,SAXVSM,LearnShapelets,MLP,SVMQ,BOP,SVML,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-347.64244,-160.320669,-37.964544,-27.694475,-17.558777,-11.625242,-6.487453,-3.845838,-3.572011,-1.904209,-1.162533,-0.847942,-0.193091,-0.178046,-0.111244,-0.061257,-0.059577,-0.055417,-0.047024,-0.042705,-0.035494,-0.031328,-0.026589,-0.022287,-0.012324,-0.004117
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
