ACC:TESTACC,ShapeletTransformClassifier,BOSS,DD_DTW,MSM,TSF,WDTW,FastShapelets,LearnShapelets,TWE,NB,DTD_C,RandF,RotF,SAXVSM,BayesNet,SVML,NN_CID,SVMQ,NN,BOP,MLP,DTW,ERP,C45,Logistic,LCSS
AvgTESTACCOverDsets:,0.30660377358490565,0.2830188679245283,0.25471698113207547,0.23113207547169812,0.20754716981132076,0.2028301886792453,0.19811320754716982,0.18867924528301888,0.18396226415094338,0.1792452830188679,0.1792452830188679,0.1650943396226415,0.14150943396226415,0.12264150943396226,0.11320754716981132,0.10377358490566038,0.10377358490566038,0.09905660377358491,0.08490566037735849,0.08490566037735849,0.07075471698113207,0.07075471698113207,0.07075471698113207,0.0660377358490566,0.06132075471698113,0.018867924528301886
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.5,10.5,12.0,13.0,14.0,15.0,16.5,16.5,18.0,19.5,19.5,22.0,22.0,22.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,RotF,WDTW,DTW,LCSS,ShapeletTransformClassifier,TSF,BOSS,LearnShapelets,SVMQ,SAXVSM,NB,FastShapelets,SVML,MLP,ERP,BayesNet,NN,BOP,NN_CID,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-73354.839575,-17794.721358,-15127.097583,-13364.406827,-6455.520804,-3162.462128,-770.046574,-523.779993,-444.003806,-87.136706,-81.629234,-66.168441,-35.680778,-25.448914,-22.128321,-9.240568,-7.139125,-6.309012,-5.5143640000000005,-5.498143,-3.416686,-2.537951,-2.416617,-0.499695,-0.459658,-0.009949
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,Logistic,RotF,BOSS,MLP,ShapeletTransformClassifier,TSF,RandF,C45,SVML,SVMQ,BayesNet,NB,LearnShapelets,FastShapelets,SAXVSM,BOP,DD_DTW,NN,NN_CID,DTD_C,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-6936583.642201,-5384447.411545,-2928353.279747,-2289588.427253,-589241.40435,-291201.058174,-30294.601306,-13109.014611,-9916.768949,-9810.057924,-4087.625562,-729.810548,-34.692563,-12.639869000000001,-2.8584009999999997,-2.383802,-0.67835,-0.662796,-0.642547,-0.445157,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,NN,TSF,BOSS,SAXVSM,ShapeletTransformClassifier,FastShapelets,LearnShapelets,BOP,BayesNet,DD_DTW,C45,SVML,SVMQ,MSM,RandF,NN_CID,ERP,LCSS,DTD_C,DTW,WDTW,TWE,MLP,RotF,Logistic
AvgTESTMaxMemoryOverDsets:,0.0,0.0,107.58308,1104.120976,1304.168728,2481.237488,2874.772336,2874.772336,2874.772336,3421.526904,10344.19428,10361.058744,10410.14688,10410.14688,14424.853056,20266.483,20640.495968,20640.868472,20649.103384,20664.553992,20697.539528,20794.864072,20869.023328,20888.395448,21730.7744,21740.017672
AvgTESTMaxMemoryRankOverDsets:,1.5,1.5,3.0,4.0,5.0,6.0,8.0,8.0,8.0,10.0,11.0,12.0,13.5,13.5,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,Logistic,RandF,NN_CID,BOP,NN,BayesNet,ERP,MLP,SVML,FastShapelets,NB,SAXVSM,SVMQ,LearnShapelets,BOSS,TSF,ShapeletTransformClassifier,LCSS,DTW,WDTW,RotF,MSM,TWE,DD_DTW,DTD_C
