ACC:TESTACC,TWE,DD_DTW,LearnShapelets,ShapeletTransformClassifier,SVML,SVMQ,MLP,NN,DTW,WDTW,MSM,NN_CID,ERP,DTD_C,TSF,FastShapelets,BOP,BOSS,Logistic,BayesNet,RotF,RandF,SAXVSM,NB,C45,LCSS
AvgTESTACCOverDsets:,1.0,1.0,1.0,1.0,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9523809523809523,0.9047619047619048,0.031746031746031744
AvgTESTACCRankOverDsets:,2.5,2.5,2.5,2.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,21.0,21.0,21.0,21.0,21.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,MSM,RotF,BOSS,WDTW,DTW,FastShapelets,TSF,LCSS,SVML,SVMQ,LearnShapelets,NB,BayesNet,ERP,NN,NN_CID,RandF,MLP,Logistic,SAXVSM,BOP,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-287.962112,-178.221814,-81.206883,-40.263787,-36.716341,-30.778308,-14.739877,-8.472989,-4.059251,-3.052123,-2.5435600000000003,-1.976362,-0.73733,-0.73416,-0.563774,-0.533001,-0.434355,-0.415021,-0.311404,-0.299427,-0.23954,-0.10676,-0.07922,-0.074884,-0.060287,-0.01248
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
