ACC:TESTACC,RandF,NN,BayesNet,RotF,NB,TSF,SVML,ShapeletTransformClassifier,BOSS,MLP,LearnShapelets,SVMQ,SAXVSM,WDTW,TWE,MSM,NN_CID,FastShapelets,DTW,ERP,DD_DTW,C45,DTD_C,BOP,Logistic,LCSS
AvgTESTACCOverDsets:,0.8429752066115702,0.8429752066115702,0.8264462809917356,0.8099173553719008,0.8016528925619835,0.8016528925619835,0.7933884297520661,0.7933884297520661,0.7851239669421488,0.7768595041322314,0.768595041322314,0.7603305785123967,0.743801652892562,0.7355371900826446,0.7355371900826446,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7107438016528925,0.7107438016528925,0.7107438016528925,0.7024793388429752,0.6942148760330579,0.6776859504132231,0.6611570247933884,0.4132231404958678
AvgTESTACCRankOverDsets:,1.5,1.5,3.0,4.0,5.5,5.5,7.5,7.5,9.0,10.0,11.0,12.0,13.0,14.5,14.5,17.0,17.0,17.0,20.0,20.0,20.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,ShapeletTransformClassifier,DTD_C,DD_DTW,MSM,TWE,BOSS,RotF,WDTW,DTW,TSF,LCSS,FastShapelets,ERP,NN_CID,RandF,NN,NB,LearnShapelets,SVMQ,BayesNet,SVML,BOP,SAXVSM,MLP,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-443.802873,-346.25707,-126.95692,-52.592508,-49.975387,-26.055099,-24.607351,-20.69932,-4.264543,-2.900403,-2.589002,-2.533099,-0.807441,-0.708411,-0.41289,-0.33964,-0.242003,-0.240995,-0.210486,-0.18916,-0.156086,-0.11132,-0.095906,-0.08254,-0.044063,-0.008672
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

