ACC:TESTACC,SVMQ,RotF,ShapeletTransformClassifier,SVML,RandF,MLP,DTW,ERP,Logistic,DD_DTW,DTD_C,TSF,BOSS,NN,MSM,NN_CID,WDTW,TWE,BOP,FastShapelets,SAXVSM,C45,BayesNet,LearnShapelets,NB,LCSS
AvgTESTACCOverDsets:,0.8444444444444444,0.8111111111111111,0.8111111111111111,0.8,0.8,0.8,0.8,0.8,0.7888888888888889,0.7888888888888889,0.7888888888888889,0.7888888888888889,0.7888888888888889,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7666666666666667,0.7555555555555555,0.7555555555555555,0.7333333333333333,0.7333333333333333,0.7222222222222222,0.6888888888888889,0.6666666666666666,0.6555555555555556,0.6333333333333333
AvgTESTACCRankOverDsets:,1.0,2.5,2.5,6.0,6.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0,15.0,15.0,15.0,17.0,18.5,18.5,20.5,20.5,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,ShapeletTransformClassifier,DTD_C,DD_DTW,RotF,TWE,MSM,BOSS,WDTW,DTW,TSF,FastShapelets,LCSS,ERP,NN_CID,RandF,NN,SVMQ,BOP,NB,BayesNet,SAXVSM,LearnShapelets,MLP,Logistic,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-446.570812,-414.925857,-98.759372,-44.438119,-42.932682,-26.51047,-11.689112,-5.903904,-3.9718299999999997,-3.540792,-3.07821,-2.004009,-0.633103,-0.605264,-0.477384,-0.45532,-0.238023,-0.185475,-0.141147,-0.130648,-0.107093,-0.097979,-0.088543,-0.037923,-0.03202,-0.007577
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,TSF,BOSS,RandF,Logistic,BayesNet,C45,MLP,NB,SVMQ,SVML,NN_CID,NN,DD_DTW,DTD_C,SAXVSM,BOP,FastShapelets,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-279155.478533,-17677.217715,-10007.856916,-6512.89138,-2161.636104,-2003.820064,-1814.629705,-1700.813162,-1654.807004,-1558.70283,-469.055221,-234.59046,-0.498029,-0.394395,-0.340512,-0.269332,-0.045567,-0.011443,-0.006851,-0.004664,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,BayesNet,DTD_C,Logistic,NN,DTW,WDTW,MLP,TWE,MSM,SVML,SVMQ,RandF,BOP,NN_CID,LCSS,BOSS,ERP,DD_DTW,SAXVSM,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,15.763528,21.2184,25.837912,28.151256,28.782608,29.156704,31.985568,34.264128,34.735224,34.735224,35.617344,36.477616,37.90192,42.036144,44.521104,47.359792,48.2644,114.063456,117.553984,123.02872,123.02872,1014.602848
AvgTESTMaxMemoryRankOverDsets:,2.5,2.5,2.5,2.5,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.5,13.5,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,SVML,Logistic,MLP,LearnShapelets,SAXVSM,BayesNet,NB,BOP,SVMQ,NN,RandF,NN_CID,ERP,LCSS,FastShapelets,TSF,DTW,WDTW,BOSS,MSM,TWE,RotF,DD_DTW,DTD_C,ShapeletTransformClassifier
AvgTESTAvgPredTimesOverDsets:,0.007577,0.03202,0.037923,0.088543,0.097979,0.107093,0.130648,0.141147,0.185475,0.238023,0.45532,0.477384,0.605264,0.633103,2.004009,3.07821,3.540792,3.9718299999999997,5.903904,11.689112,26.51047,42.932682,44.438119,98.759372,414.925857,446.570812
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,LearnShapelets,FastShapelets,BOP,SAXVSM,DTD_C,DD_DTW,NN,NN_CID,SVML,SVMQ,NB,MLP,C45,BayesNet,Logistic,RandF,BOSS,TSF,RotF,ShapeletTransformClassifier
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.004664,0.006851,0.011443,0.045567,0.269332,0.340512,0.394395,0.498029,234.59046,469.055221,1558.70283,1654.807004,1700.813162,1814.629705,2003.820064,2161.636104,6512.89138,10007.856916,17677.217715,279155.478533
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

