ACC:TESTACC,TSF,MLP,NB,RotF,ShapeletTransformClassifier,RandF,NN,FastShapelets,BayesNet,TWE,MSM,LearnShapelets,SVMQ,DTD_C,SVML,DTW,WDTW,ERP,BOP,C45,NN_CID,BOSS,Logistic,DD_DTW,SAXVSM,LCSS
AvgTESTACCOverDsets:,0.8114754098360656,0.8032786885245902,0.7950819672131147,0.7950819672131147,0.7950819672131147,0.7868852459016393,0.7704918032786885,0.7704918032786885,0.7622950819672131,0.7459016393442623,0.7459016393442623,0.7459016393442623,0.7377049180327869,0.7377049180327869,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7295081967213115,0.7131147540983607,0.7049180327868853,0.7049180327868853,0.6967213114754098,0.6885245901639344,0.6639344262295082,0.27049180327868855
AvgTESTACCRankOverDsets:,1.0,2.0,4.0,4.0,4.0,6.0,7.5,7.5,9.0,11.0,11.0,11.0,13.5,13.5,17.0,17.0,17.0,17.0,17.0,20.0,21.5,21.5,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,MSM,TWE,RotF,WDTW,BOSS,DTW,FastShapelets,TSF,LCSS,ERP,SVMQ,SVML,NN_CID,NB,LearnShapelets,RandF,BayesNet,BOP,NN,SAXVSM,MLP,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-336.340622,-332.469574,-73.16024,-58.064878,-49.020664,-36.629096,-11.949141000000001,-7.19349,-3.896312,-3.679577,-2.846955,-2.332748,-1.101178,-0.945699,-0.746239,-0.717275,-0.54319,-0.513197,-0.404703,-0.328345,-0.30313,-0.222482,-0.138249,-0.090495,-0.047073,-0.024588
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,TSF,BOSS,Logistic,RandF,MLP,BayesNet,C45,NB,SVMQ,SVML,NN,DD_DTW,NN_CID,DTD_C,SAXVSM,LearnShapelets,BOP,FastShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
