ACC:TESTACC,BOSS,ShapeletTransformClassifier,TWE,DD_DTW,WDTW,MSM,TSF,BOP,SAXVSM,BayesNet,LearnShapelets,RotF,RandF,DTD_C,FastShapelets,NN_CID,SVML,SVMQ,Logistic,C45,NB,MLP,NN,DTW,ERP,LCSS
AvgTESTACCOverDsets:,0.6333333333333333,0.6066666666666667,0.5866666666666667,0.58,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5266666666666666,0.5266666666666666,0.52,0.52,0.4866666666666667,0.4666666666666667,0.4666666666666667,0.44,0.4,0.3933333333333333,0.3933333333333333,0.37333333333333335,0.37333333333333335,0.35333333333333333,0.35333333333333333,0.32666666666666666,0.31333333333333335,0.31333333333333335,0.24
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,6.0,6.0,6.0,8.5,8.5,10.5,10.5,12.0,13.5,13.5,15.0,16.0,17.5,17.5,19.5,19.5,21.5,21.5,23.0,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,WDTW,RotF,ShapeletTransformClassifier,DTW,LCSS,BOSS,TSF,FastShapelets,MLP,BOP,LearnShapelets,NN,ERP,SAXVSM,NB,NN_CID,BayesNet,SVMQ,RandF,SVML,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-12890.958189,-2785.79492,-1061.279521,-743.663174,-410.815944,-264.628422,-264.01838,-127.977042,-78.006459,-18.705894,-12.819964,-4.212551,-2.7312060000000002,-2.662398,-1.903314,-1.62499,-1.510902,-1.482407,-1.2665980000000001,-0.829658,-0.692383,-0.580811,-0.177958,-0.098612,-0.084345,-0.00874
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
