ACC:TESTACC,ShapeletTransformClassifier,BOSS,TSF,RotF,WDTW,DD_DTW,SVMQ,NN,TWE,MSM,NN_CID,NB,RandF,SAXVSM,ERP,LearnShapelets,SVML,Logistic,DTW,DTD_C,MLP,LCSS,C45,BOP,BayesNet,FastShapelets
AvgTESTACCOverDsets:,0.62,0.5133333333333333,0.5,0.4866666666666667,0.4666666666666667,0.4666666666666667,0.4533333333333333,0.4533333333333333,0.4533333333333333,0.44666666666666666,0.44666666666666666,0.44,0.43333333333333335,0.43333333333333335,0.4266666666666667,0.42,0.41333333333333333,0.4066666666666667,0.4,0.3933333333333333,0.38,0.35333333333333333,0.3466666666666667,0.3466666666666667,0.3333333333333333,0.3333333333333333
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.5,5.5,8.0,8.0,8.0,10.5,10.5,12.0,13.5,13.5,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.5,23.5,25.5,25.5
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,WDTW,RotF,ShapeletTransformClassifier,DTW,LCSS,TSF,BOSS,BOP,MLP,FastShapelets,LearnShapelets,SAXVSM,ERP,NN,NN_CID,NB,SVMQ,BayesNet,RandF,SVML,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-12676.697825,-2225.425149,-837.16531,-456.658253,-293.936274,-233.172467,-218.749499,-132.635073,-70.539915,-11.827363,-11.313726,-4.72607,-2.240693,-2.094255,-1.305267,-1.2424,-1.141625,-0.952793,-0.761125,-0.59167,-0.327639,-0.262591,-0.151752,-0.046487,-0.036764,-0.003587
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,BOSS,ShapeletTransformClassifier,RotF,MLP,TSF,Logistic,RandF,C45,BayesNet,NB,SVML,SVMQ,FastShapelets,SAXVSM,NN,NN_CID,BOP,DD_DTW,DTD_C,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-1511090.639509,-423450.102898,-124877.171873,-38564.333594,-23000.524475,-3949.590721,-2439.827246,-1960.953981,-1711.971024,-1250.041842,-951.691253,-602.352365,-1.912342,-1.447696,-0.382503,-0.345465,-0.281415,-0.242107,-0.159741,-0.10597,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,TWE,MSM,LCSS,ERP,BayesNet,NN,C45,DTW,RandF,WDTW,SVMQ,Logistic,SVML,MLP,LearnShapelets,NN_CID,DD_DTW,SAXVSM,BOSS,DTD_C,RotF,TSF,FastShapelets,ShapeletTransformClassifier,BOP
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,23.18648,43.831312,55.109856,65.831584,67.196408,74.994904,101.592904,113.323128,113.323128,279.152904,331.643208,394.1264,474.052912,686.775176,686.775176,779.886848,797.880128,838.313656,1245.667512,1245.667512,1245.667512
AvgTESTMaxMemoryRankOverDsets:,3.0,3.0,3.0,3.0,3.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.5,13.5,15.0,16.0,17.0,18.0,19.5,19.5,21.0,22.0,23.0,25.0,25.0,25.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,Logistic,SVML,RandF,BayesNet,SVMQ,NB,NN_CID,NN,ERP,SAXVSM,LearnShapelets,FastShapelets,MLP,BOP,BOSS,TSF,LCSS,DTW,ShapeletTransformClassifier,RotF,WDTW,MSM,TWE,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.003587,0.036764,0.046487,0.151752,0.262591,0.327639,0.59167,0.761125,0.952793,1.141625,1.2424,1.305267,2.094255,2.240693,4.72607,11.313726,11.827363,70.539915,132.635073,218.749499,233.172467,293.936274,456.658253,837.16531,2225.425149,12676.697825
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,LearnShapelets,DTD_C,DD_DTW,BOP,NN_CID,NN,SAXVSM,FastShapelets,SVMQ,SVML,NB,BayesNet,C45,RandF,Logistic,TSF,MLP,RotF,ShapeletTransformClassifier,BOSS
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10597,0.159741,0.242107,0.281415,0.345465,0.382503,1.447696,1.912342,602.352365,951.691253,1250.041842,1711.971024,1960.953981,2439.827246,3949.590721,23000.524475,38564.333594,124877.171873,423450.102898,1511090.639509
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

