ACC:TESTACC,FastShapelets,LearnShapelets,ShapeletTransformClassifier,BOSS,MSM,SAXVSM,BOP,WDTW,NN_CID,DD_DTW,DTD_C,TWE,TSF,C45,NN,SVML,SVMQ,LCSS,Logistic,MLP,DTW,ERP,NB,RandF,BayesNet,RotF
AvgTESTACCOverDsets:,1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9166666666666666,0.8666666666666667,0.7,0.6833333333333333,0.6666666666666666,0.55,0.5333333333333333,0.5,0.4666666666666667,0.45,0.45,0.45,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.4,0.38333333333333336,0.36666666666666664,0.35
AvgTESTACCRankOverDsets:,2.5,2.5,2.5,2.5,5.5,5.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,17.0,17.0,20.5,20.5,20.5,20.5,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,MSM,TWE,WDTW,RotF,ShapeletTransformClassifier,BOSS,DTW,LCSS,TSF,NN,MLP,FastShapelets,NB,ERP,LearnShapelets,BayesNet,BOP,NN_CID,SAXVSM,RandF,SVMQ,Logistic,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-5665.699101,-1387.974227,-838.575317,-675.984913,-481.727646,-318.954271,-290.611723,-130.458601,-100.819258,-71.09091599999999,-18.653658,-5.007759,-3.056381,-1.162786,-0.923749,-0.921361,-0.834846,-0.563375,-0.550714,-0.49136,-0.485993,-0.439734,-0.299212,-0.167261,-0.134648,-0.007601
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
