ACC:TESTACC,BOSS,MSM,ShapeletTransformClassifier,WDTW,TSF,RotF,RandF,NN_CID,DD_DTW,LearnShapelets,SVMQ,NN,DTW,ERP,SVML,BOP,DTD_C,MLP,TWE,SAXVSM,Logistic,NB,FastShapelets,C45,BayesNet,LCSS
AvgTESTACCOverDsets:,0.8166666666666667,0.8133333333333334,0.7933333333333333,0.7233333333333334,0.7133333333333334,0.7033333333333334,0.7,0.6966666666666667,0.6933333333333334,0.6833333333333333,0.6733333333333333,0.67,0.67,0.67,0.6533333333333333,0.65,0.6066666666666667,0.5966666666666667,0.5866666666666667,0.5566666666666666,0.5333333333333333,0.5266666666666666,0.47333333333333333,0.37333333333333335,0.33666666666666667,0.0033333333333333335
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,13.0,13.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,WDTW,ShapeletTransformClassifier,RotF,DTW,LCSS,BOSS,SVMQ,LearnShapelets,SVML,NB,TSF,FastShapelets,BayesNet,SAXVSM,MLP,ERP,BOP,NN_CID,RandF,NN,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-14049.91526,-2899.050763,-1037.054185,-578.407366,-231.690558,-227.512231,-134.937341,-125.783817,-106.014612,-101.041612,-32.16762,-30.747142,-16.077613,-9.651056,-7.447989,-7.35752,-4.981258,-4.798777,-1.427632,-1.095455,-1.080065,-0.991417,-0.425653,-0.387087,-0.30352,-0.004836
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,Logistic,BOSS,ShapeletTransformClassifier,RotF,TSF,MLP,SVML,C45,RandF,SVMQ,BayesNet,NB,LearnShapelets,SAXVSM,FastShapelets,BOP,NN,NN_CID,DD_DTW,DTD_C,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-2256507.334934,-1443325.500943,-802135.534798,-506642.729192,-145046.245779,-62691.31888,-12475.720828,-12036.287371,-10000.661795,-9009.565569,-8315.451563,-1565.180721,-33.556694,-2.816136,-1.452591,-0.586804,-0.377855,-0.210681,-0.193442,-0.1753,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

