ACC:TESTACC,BOSS,ShapeletTransformClassifier,BOP,RotF,TSF,BayesNet,WDTW,NN,RandF,C45,NB,LearnShapelets,TWE,DD_DTW,SAXVSM,SVML,SVMQ,MSM,DTD_C,NN_CID,MLP,Logistic,FastShapelets,DTW,ERP,LCSS
AvgTESTACCOverDsets:,0.7266666666666667,0.7133333333333334,0.7133333333333334,0.6933333333333334,0.6866666666666666,0.6266666666666667,0.6133333333333333,0.58,0.5733333333333334,0.56,0.56,0.56,0.5533333333333333,0.52,0.5133333333333333,0.4533333333333333,0.44666666666666666,0.44,0.4266666666666667,0.4,0.3933333333333333,0.37333333333333335,0.3333333333333333,0.31333333333333335,0.31333333333333335,0.30666666666666664
AvgTESTACCRankOverDsets:,1.0,2.5,2.5,4.0,5.0,6.0,7.0,8.0,9.0,11.0,11.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,WDTW,ShapeletTransformClassifier,RotF,DTW,LCSS,TSF,FastShapelets,BOSS,MLP,ERP,LearnShapelets,NN_CID,NN,SAXVSM,NB,BOP,SVMQ,BayesNet,RandF,SVML,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-12529.135843,-2316.400457,-895.483399,-541.581328,-338.367825,-224.668563,-223.051243,-134.070288,-68.522726,-11.823241,-4.676641,-2.9853300000000003,-1.746137,-1.213172,-1.161102,-0.7412,-0.684061,-0.649938,-0.596341,-0.446308,-0.346855,-0.204423,-0.138696,-0.092525,-0.021324,-0.005368
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,BOSS,ShapeletTransformClassifier,RotF,MLP,TSF,Logistic,RandF,C45,BayesNet,NB,SVML,SVMQ,FastShapelets,NN,NN_CID,DD_DTW,BOP,DTD_C,SAXVSM,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-1474031.360015,-397350.490479,-103830.653453,-35717.214885,-18217.062142,-4165.401909,-2254.539472,-1992.163713,-1952.14487,-1352.347106,-550.326317,-452.981513,-2.091154,-0.426994,-0.286289,-0.210313,-0.18574,-0.182449,-0.110263,-0.088201,1.0,1.0,1.0,1.0,1.0,1.0
