ACC:TESTACC,BOSS,ShapeletTransformClassifier,RotF,TSF,RandF,NN_CID,FastShapelets,BOP,SVMQ,MLP,DD_DTW,WDTW,DTD_C,Logistic,SVML,DTW,ERP,MSM,C45,NN,TWE,SAXVSM,NB,LearnShapelets,BayesNet,LCSS
AvgTESTACCOverDsets:,0.9826839826839827,0.9783549783549783,0.9696969696969697,0.961038961038961,0.9393939393939394,0.9393939393939394,0.9307359307359307,0.9264069264069265,0.9004329004329005,0.8961038961038961,0.8961038961038961,0.8831168831168831,0.8831168831168831,0.8787878787878788,0.8787878787878788,0.8614718614718615,0.8614718614718615,0.8571428571428571,0.8398268398268398,0.8354978354978355,0.8354978354978355,0.8268398268398268,0.8095238095238095,0.8051948051948052,0.7748917748917749,0.1471861471861472
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.5,5.5,7.0,8.0,9.0,10.5,10.5,12.5,12.5,14.5,14.5,16.5,16.5,18.0,19.0,20.5,20.5,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,WDTW,RotF,DTW,ShapeletTransformClassifier,LCSS,BOSS,TSF,MLP,LearnShapelets,FastShapelets,BOP,NN,ERP,SAXVSM,NN_CID,NB,BayesNet,SVMQ,RandF,SVML,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-36713.449647,-9090.490759,-3187.230828,-1733.02532,-739.245129,-417.544034,-300.127404,-224.964214,-182.055054,-125.376786,-23.289739,-5.48933,-2.7207470000000002,-2.154112,-1.865987,-1.7123089999999999,-1.6765919999999999,-1.527834,-1.229684,-0.867281,-0.329277,-0.141411,-0.098885,-0.06754,-0.02418,-0.002703
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,BOSS,ShapeletTransformClassifier,RotF,MLP,TSF,Logistic,RandF,SVMQ,BayesNet,C45,SVML,NB,FastShapelets,SAXVSM,BOP,NN,NN_CID,LearnShapelets,DTD_C,DD_DTW,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-1180293.905092,-412745.696051,-171079.09307,-148805.36122,-28349.103787,-7745.493786,-1622.474652,-1563.326672,-1342.09878,-1292.043287,-1111.154387,-619.834927,-2.538221,-1.111189,-1.108012,-0.450342,-0.35857,-0.328163,-0.30675,-0.299561,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,C45,BayesNet,DTW,WDTW,RandF,NN,Logistic,SVML,SVMQ,ShapeletTransformClassifier,TWE,BOP,SAXVSM,BOSS,MLP,MSM,DD_DTW,RotF,NN_CID,ERP,DTD_C,LCSS,TSF,FastShapelets,LearnShapelets
AvgTESTMaxMemoryOverDsets:,0.0,37.845608,84.162328,103.378896,114.548544,130.941896,152.55828,169.80708,169.80708,169.80708,682.112448,736.855224,767.619488,902.399736,902.399736,1022.559608,1038.698192,1131.634136,1134.359208,1140.966848,1141.131464,1141.936712,1142.55948,1337.998328,1477.937704,1477.937704
AvgTESTMaxMemoryRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,9.0,9.0,11.0,12.0,13.0,14.5,14.5,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.5,25.5
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,Logistic,SVML,RandF,SVMQ,BayesNet,NB,NN_CID,SAXVSM,ERP,NN,BOP,FastShapelets,LearnShapelets,MLP,TSF,BOSS,LCSS,ShapeletTransformClassifier,DTW,RotF,WDTW,MSM,TWE,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.002703,0.02418,0.06754,0.098885,0.141411,0.329277,0.867281,1.229684,1.527834,1.6765919999999999,1.7123089999999999,1.865987,2.154112,2.7207470000000002,5.48933,23.289739,125.376786,182.055054,224.964214,300.127404,417.544034,739.245129,1733.02532,3187.230828,9090.490759,36713.449647
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,DD_DTW,DTD_C,LearnShapelets,NN_CID,NN,BOP,SAXVSM,FastShapelets,NB,SVML,C45,BayesNet,SVMQ,RandF,Logistic,TSF,MLP,RotF,ShapeletTransformClassifier,BOSS
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.299561,0.30675,0.328163,0.35857,0.450342,1.108012,1.111189,2.538221,619.834927,1111.154387,1292.043287,1342.09878,1563.326672,1622.474652,7745.493786,28349.103787,148805.36122,171079.09307,412745.696051,1180293.905092
