ACC:TESTACC,RotF,ShapeletTransformClassifier,BOSS,C45,SVML,BOP,SVMQ,SAXVSM,Logistic,TSF,RandF,TWE,DD_DTW,FastShapelets,DTW,NN_CID,ERP,NN,MSM,DTD_C,WDTW,BayesNet,MLP,NB,LearnShapelets,LCSS
AvgTESTACCOverDsets:,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9494949494949495,0.9494949494949495,0.9494949494949495,0.9393939393939394,0.9393939393939394,0.9191919191919192,0.9191919191919192,0.9090909090909091,0.9090909090909091,0.8888888888888888,0.8888888888888888,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8686868686868687,0.8686868686868687,0.8686868686868687,0.8585858585858586,0.8383838383838383,0.8282828282828283,0.8181818181818182,0.7171717171717171,0.6262626262626263
AvgTESTACCRankOverDsets:,2.0,2.0,2.0,5.0,5.0,5.0,7.5,7.5,9.5,9.5,11.5,11.5,13.5,13.5,16.0,16.0,16.0,19.0,19.0,19.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,TWE,RotF,BOSS,MSM,WDTW,DTW,LCSS,TSF,FastShapelets,BOP,ERP,MLP,NN,NB,SAXVSM,BayesNet,NN_CID,LearnShapelets,RandF,Logistic,SVMQ,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-895.386311,-345.645669,-147.857007,-73.30324,-55.949404,-47.060653,-40.010272,-31.844436,-17.730899,-3.814972,-3.111447,-1.5009299999999999,-0.46549,-0.335615,-0.23117,-0.223376,-0.18502,-0.1733,-0.165925,-0.165533,-0.155244,-0.120474,-0.039753,-0.028387,-0.02486,-0.003033
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,TSF,MLP,Logistic,BayesNet,C45,NB,RandF,SVMQ,SVML,NN,NN_CID,DD_DTW,DTD_C,SAXVSM,BOP,FastShapelets,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-379763.568759,-35289.301611,-14252.713549,-5581.496789,-2790.242797,-1948.96975,-1811.733861,-1684.573164,-1487.124701,-756.117594,-224.092253,-214.495978,-0.253554,-0.243175,-0.112189,-0.093886,-0.080466,-0.032977,-0.016609,-0.007422,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,SVML,LCSS,BayesNet,Logistic,SVMQ,RandF,NN,DTW,WDTW,BOP,MLP,TWE,MSM,SAXVSM,BOSS,NN_CID,ERP,DD_DTW,DTD_C,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
