ACC:TESTACC,ShapeletTransformClassifier,DD_DTW,MLP,MSM,TSF,NN_CID,NB,BOSS,RotF,SVMQ,RandF,WDTW,SVML,BayesNet,TWE,BOP,DTW,ERP,NN,DTD_C,SAXVSM,FastShapelets,Logistic,LearnShapelets,C45,LCSS
AvgTESTACCOverDsets:,0.825,0.8083333333333333,0.8,0.7916666666666666,0.7916666666666666,0.7833333333333333,0.775,0.775,0.7666666666666667,0.7416666666666667,0.7333333333333333,0.725,0.7083333333333334,0.7,0.7,0.6833333333333333,0.6583333333333333,0.6583333333333333,0.65,0.6166666666666667,0.5416666666666666,0.525,0.5166666666666667,0.5,0.4583333333333333,0.016666666666666666
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.5,4.5,6.0,7.5,7.5,9.0,10.0,11.0,12.0,13.0,14.5,14.5,16.0,17.5,17.5,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,ShapeletTransformClassifier,DD_DTW,MSM,TWE,RotF,WDTW,FastShapelets,DTW,BOSS,TSF,LCSS,SVMQ,LearnShapelets,SVML,NB,ERP,NN_CID,BOP,RandF,SAXVSM,BayesNet,MLP,NN,C45,Logistic
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-302.479513,-295.124615,-71.244491,-36.412773,-28.694863,-27.21138,-8.69996,-5.380892,-3.236242,-2.379712,-1.762708,-1.636789,-1.214278,-1.080191,-0.864917,-0.720046,-0.427146,-0.322673,-0.261637,-0.234941,-0.170729,-0.145764,-0.086561,-0.074794,-0.035416,-0.020076
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,TSF,BOSS,Logistic,MLP,BayesNet,C45,RandF,NB,SVML,SVMQ,NN,NN_CID,DD_DTW,LearnShapelets,DTD_C,SAXVSM,FastShapelets,BOP,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-421876.74647,-14856.054891,-11144.531753,-8814.815323,-4747.272944,-1974.600871,-1944.071258,-1885.099431,-1799.037399,-1561.773772,-816.93071,-748.043859,-0.162238,-0.131112,-0.115472,-0.095662,-0.091901,-0.068874,-0.017882,-0.011132,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,NN,WDTW,MSM,NN_CID,DTD_C,DTW,C45,BayesNet,TWE,BOP,BOSS,SAXVSM,LCSS,ERP,DD_DTW,RandF,MLP,Logistic,SVML,SVMQ,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,0.0,45.443392,46.581416,46.581416,47.774984,51.365488,56.699504,63.50292,65.204304,74.405928,77.36172,88.0542,88.0542,122.117376,122.117376,122.117376,172.079368,196.46164,196.46164,196.46164,1042.12384
AvgTESTMaxMemoryRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.5,8.5,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.5,17.5,20.0,20.0,20.0,22.0,24.0,24.0,24.0,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,Logistic,C45,NN,MLP,BayesNet,SAXVSM,RandF,BOP,NN_CID,ERP,NB,SVML,LearnShapelets,SVMQ,LCSS,TSF,BOSS,DTW,FastShapelets,WDTW,RotF,TWE,MSM,DD_DTW,ShapeletTransformClassifier,DTD_C
