ACC:TESTACC,WDTW,TSF,ShapeletTransformClassifier,BOSS,MSM,DD_DTW,RotF,BayesNet,RandF,DTW,NN_CID,ERP,BOP,FastShapelets,SAXVSM,NB,SVMQ,NN,LearnShapelets,SVML,C45,TWE,Logistic,MLP,DTD_C,LCSS
AvgTESTACCOverDsets:,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9607843137254902,0.9509803921568627,0.9411764705882353,0.9313725490196079,0.9313725490196079,0.9313725490196079,0.9313725490196079,0.9313725490196079,0.9313725490196079,0.9215686274509803,0.9215686274509803,0.9117647058823529,0.9019607843137255,0.9019607843137255,0.8921568627450981,0.8725490196078431,0.8627450980392157,0.8529411764705882,0.8333333333333334,0.8333333333333334,0.7941176470588235,0.0392156862745098
AvgTESTACCRankOverDsets:,2.5,2.5,2.5,2.5,5.0,6.0,7.0,10.5,10.5,10.5,10.5,10.5,10.5,14.5,14.5,16.0,17.5,17.5,19.0,20.0,21.0,22.0,23.5,23.5,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,ShapeletTransformClassifier,MSM,RotF,WDTW,DTW,BOSS,LCSS,TSF,FastShapelets,LearnShapelets,SVMQ,MLP,NB,NN,ERP,SAXVSM,SVML,BOP,NN_CID,BayesNet,RandF,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-3158.3621,-584.879273,-236.985093,-181.954423,-161.547027,-123.202314,-86.691417,-63.703978,-50.814863,-19.007107,-6.37697,-3.362251,-2.074541,-1.144873,-0.903319,-0.869864,-0.590501,-0.471818,-0.380495,-0.356421,-0.3294,-0.314029,-0.284944,-0.206517,-0.018609,-0.010511
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
