ACC:TESTACC,TSF,TWE,MSM,WDTW,DTD_C,ShapeletTransformClassifier,LearnShapelets,NB,DD_DTW,RandF,RotF,BOP,BOSS,SVML,SVMQ,SAXVSM,BayesNet,NN_CID,FastShapelets,DTW,ERP,NN,MLP,Logistic,C45,LCSS
AvgTESTACCOverDsets:,0.9916666666666667,0.975,0.975,0.9666666666666667,0.9583333333333334,0.9583333333333334,0.9416666666666667,0.9333333333333333,0.9333333333333333,0.8833333333333333,0.875,0.875,0.8666666666666667,0.85,0.85,0.85,0.8416666666666667,0.8333333333333334,0.825,0.8083333333333333,0.8083333333333333,0.7916666666666666,0.7666666666666667,0.6833333333333333,0.6583333333333333,0.025
AvgTESTACCRankOverDsets:,1.0,2.5,2.5,4.0,5.5,5.5,7.0,8.5,8.5,10.0,11.5,11.5,13.0,15.0,15.0,15.0,17.0,18.0,19.0,20.5,20.5,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,ShapeletTransformClassifier,DTD_C,DD_DTW,MSM,TWE,RotF,WDTW,FastShapelets,LCSS,DTW,BOSS,TSF,SVML,ERP,SVMQ,NN,NN_CID,RandF,LearnShapelets,NB,BayesNet,BOP,Logistic,SAXVSM,MLP,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-125.767525,-118.039712,-32.6288,-23.285298,-19.866953,-10.468894,-3.384767,-3.241338,-1.448572,-1.268427,-0.984186,-0.983935,-0.540881,-0.477809,-0.332264,-0.232063,-0.220099,-0.177721,-0.17342,-0.14945,-0.146256,-0.050776,-0.031121,-0.029376,-0.025743,-0.012929
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,TSF,Logistic,BayesNet,C45,NB,BOSS,RandF,MLP,SVML,SVMQ,NN,DD_DTW,NN_CID,DTD_C,SAXVSM,LearnShapelets,FastShapelets,BOP,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-155794.429998,-8839.08116,-4697.687369,-4226.365047,-3969.373821,-3900.265768,-3824.440978,-2885.24724,-1578.854889,-563.893525,-345.349818,-231.248288,-0.195923,-0.13615,-0.133653,-0.107344,-0.102043,-0.010099,-0.005842,-0.005381,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,BayesNet,SVMQ,DTW,DD_DTW,DTD_C,BOSS,Logistic,SVML,NN,MLP,WDTW,RandF,TWE,MSM,BOP,NN_CID,LCSS,ERP,SAXVSM,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
