ACC:TESTACC,ShapeletTransformClassifier,FastShapelets,BOP,SAXVSM,BOSS,LearnShapelets,WDTW,MSM,DTD_C,TSF,DD_DTW,RandF,DTW,TWE,ERP,RotF,NN_CID,BayesNet,C45,NB,NN,Logistic,SVML,SVMQ,LCSS,MLP
AvgTESTACCOverDsets:,0.9876543209876543,0.9753086419753086,0.9629629629629629,0.9382716049382716,0.9382716049382716,0.9012345679012346,0.8395061728395061,0.8271604938271605,0.8024691358024691,0.7777777777777778,0.7654320987654321,0.7160493827160493,0.7160493827160493,0.7160493827160493,0.7160493827160493,0.6419753086419753,0.6296296296296297,0.6172839506172839,0.6049382716049383,0.6049382716049383,0.6049382716049383,0.5555555555555556,0.5432098765432098,0.5432098765432098,0.5432098765432098,0.5185185185185185
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.5,4.5,6.0,7.0,8.0,9.0,10.0,11.0,13.5,13.5,13.5,13.5,16.0,17.0,18.0,20.0,20.0,20.0,22.0,24.0,24.0,24.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,ShapeletTransformClassifier,TWE,MSM,RotF,WDTW,DTW,BOSS,LCSS,TSF,BOP,FastShapelets,MLP,NN,NB,ERP,BayesNet,SAXVSM,RandF,LearnShapelets,NN_CID,SVMQ,Logistic,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-2373.262352,-573.747016,-366.970406,-289.46196,-200.829864,-133.346333,-119.758519,-54.098742,-39.588912,-27.436845,-9.008747,-2.077668,-1.180933,-0.759723,-0.661018,-0.547161,-0.545728,-0.463386,-0.457841,-0.421344,-0.410338,-0.305914,-0.10993,-0.104636,-0.068562,-0.008414
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,TSF,MLP,RandF,Logistic,BayesNet,C45,NB,SVML,SVMQ,NN,NN_CID,DD_DTW,DTD_C,SAXVSM,BOP,FastShapelets,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-378269.385086,-63293.848287,-42134.293411,-13740.986795,-12466.597765,-2928.164633,-1967.660029,-1505.323242,-1476.931344,-1303.150766,-563.998449,-463.078099,-0.60558,-0.40119,-0.269539,-0.232789,-0.190856,-0.06963,-0.041862,-0.011604,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,ERP,C45,BayesNet,Logistic,NN,DTW,WDTW,SVML,SVMQ,RandF,BOP,TWE,SAXVSM,BOSS,MLP,MSM,NN_CID,LCSS,DD_DTW,DTD_C,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,17.856152,17.856152,19.610896,24.11852,29.087656,36.571952,38.186336,38.186336,38.186336,50.50352,52.301368,81.607312,81.607312,83.240184,87.859984,93.047184,97.076864,133.359208,226.673408,324.824224,325.570336,339.871832,339.871832,723.495152
AvgTESTMaxMemoryRankOverDsets:,1.5,1.5,3.5,3.5,5.0,6.0,7.0,8.0,10.0,10.0,10.0,12.0,13.0,14.5,14.5,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,SVML,Logistic,SVMQ,NN_CID,LearnShapelets,RandF,SAXVSM,BayesNet,ERP,NB,NN,MLP,FastShapelets,BOP,TSF,LCSS,BOSS,DTW,WDTW,RotF,MSM,TWE,ShapeletTransformClassifier,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.008414,0.068562,0.104636,0.10993,0.305914,0.410338,0.421344,0.457841,0.463386,0.545728,0.547161,0.661018,0.759723,1.180933,2.077668,9.008747,27.436845,39.588912,54.098742,119.758519,133.346333,200.829864,289.46196,366.970406,573.747016,2373.262352
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
