ACC:TESTACC,WDTW,DD_DTW,FastShapelets,ShapeletTransformClassifier,SAXVSM,BOSS,TWE,TSF,NN_CID,BOP,DTD_C,MSM,NN,RotF,NB,RandF,DTW,ERP,BayesNet,LearnShapelets,SVMQ,SVML,MLP,Logistic,C45,LCSS
AvgTESTACCOverDsets:,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9,0.8333333333333334,0.7833333333333333,0.7666666666666667,0.75,0.75,0.75,0.75,0.7166666666666667,0.7166666666666667,0.7,0.6833333333333333,0.6833333333333333,0.6666666666666666,0.6666666666666666,0.15
AvgTESTACCRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.5,7.5,9.5,9.5,11.0,12.0,13.0,14.0,16.5,16.5,16.5,16.5,19.5,19.5,21.0,22.5,22.5,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,MSM,ShapeletTransformClassifier,TWE,RotF,WDTW,DTW,BOSS,LCSS,TSF,FastShapelets,SVMQ,NB,LearnShapelets,ERP,SVML,NN,NN_CID,BayesNet,MLP,RandF,SAXVSM,BOP,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-2292.333574,-400.903063,-261.049415,-256.79412,-237.730078,-118.133225,-77.425348,-47.359901,-41.235744,-24.002216,-8.948906000000001,-3.187807,-1.5255809999999999,-1.430129,-1.267994,-1.2275610000000001,-1.158211,-1.13569,-1.06956,-0.854128,-0.71273,-0.543714,-0.244703,-0.195266,-0.121341,-0.015357
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,TSF,MLP,Logistic,RandF,BayesNet,C45,NB,SVML,SVMQ,NN,DTD_C,DD_DTW,NN_CID,SAXVSM,FastShapelets,LearnShapelets,BOP,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-367183.729223,-43995.71921,-30440.731187,-8772.357042,-6971.335419,-3655.385405,-1743.293353,-1550.279374,-1358.640003,-1084.453771,-450.10948,-337.414751,-0.556911,-0.366929,-0.236917,-0.225022,-0.053756,-0.046111,-0.033264,-0.029871,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,NN,C45,BayesNet,WDTW,DTW,SVML,SVMQ,Logistic,RandF,TWE,SAXVSM,BOP,MLP,MSM,NN_CID,LCSS,BOSS,ERP,DD_DTW,DTD_C,RotF,TSF,FastShapelets,LearnShapelets,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,15.98492,24.517168,27.886608,29.321496,33.600576,33.600576,38.442632,38.442632,40.82944,42.33216,46.407864,52.62368,56.079632,56.079632,57.885816,72.935432,73.460808,76.381088,192.933888,321.112664,322.991904,344.155504,344.155504,518.572536
AvgTESTMaxMemoryRankOverDsets:,1.5,1.5,3.0,4.0,5.0,6.0,7.5,7.5,9.5,9.5,11.0,12.0,13.0,14.0,15.5,15.5,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
