ACC:TESTACC,Logistic,DD_DTW,ShapeletTransformClassifier,BOP,SAXVSM,BOSS,SVMQ,WDTW,TWE,SVML,RotF,MLP,MSM,RandF,TSF,ERP,FastShapelets,DTW,NN_CID,NN,DTD_C,C45,NB,BayesNet,LearnShapelets,LCSS
AvgTESTACCOverDsets:,1.0,1.0,1.0,1.0,1.0,1.0,0.9914529914529915,0.9914529914529915,0.9914529914529915,0.9829059829059829,0.9829059829059829,0.9829059829059829,0.9572649572649573,0.9487179487179487,0.9487179487179487,0.9401709401709402,0.9401709401709402,0.9316239316239316,0.9316239316239316,0.9230769230769231,0.9145299145299145,0.905982905982906,0.8717948717948718,0.8205128205128205,0.8205128205128205,0.6153846153846154
AvgTESTACCRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,8.0,8.0,8.0,11.0,11.0,11.0,13.0,14.5,14.5,16.5,16.5,18.5,18.5,20.0,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,ShapeletTransformClassifier,DTD_C,DD_DTW,MSM,TWE,RotF,BOSS,WDTW,DTW,TSF,LCSS,FastShapelets,NN_CID,ERP,RandF,NB,BayesNet,BOP,NN,LearnShapelets,SVMQ,SAXVSM,MLP,Logistic,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-542.149878,-336.41158,-134.7373,-51.704613,-49.408048,-27.612081,-19.921015,-13.32558,-4.552187,-2.9933959999999997,-2.5442679999999998,-1.612143,-1.233709,-0.901631,-0.418075,-0.337729,-0.262744,-0.206368,-0.13329,-0.109559,-0.093823,-0.081552,-0.081147,-0.059843,-0.033886,-0.010836
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
